Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,471,-6.2%,53,-1.9%,57,5.6%,149,-5.7%,730,-4.9%,
Gender,Female,300,-13.3%,39,0.0%,31,10.7%,106,-10.9%,476,-10.5%,
,Male,171,9.6%,14,-6.7%,26,0.0%,43,10.3%,254,7.6%,
Ethnicity,White,331,-4.6%,34,-2.9%,20,-9.1%,134,-2.2%,519,-4.1%,
,Black,11,-31.3%,3,0.0%,1,0.0%,0,-100.0%,15,-31.8%,
,Hispanic,64,8.5%,3,-50.0%,4,33.3%,6,-53.8%,77,-4.9%,
,Asian,43,-25.9%,2,100.0%,3,0.0%,7,133.3%,55,-15.4%,
,American Indian,0,-100.0%,2,100.0%,,,,,2,-60.0%,
,International,2,100.0%,7,16.7%,28,16.7%,,,37,19.4%,
,Unknown/Other,20,17.6%,2,0.0%,1,0.0%,2,-33.3%,25,8.7%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,291,-5.8%,,,,,0,-100.0%,291,-7.6%,
,22-25,175,-7.4%,25,-3.8%,0,-100.0%,57,-14.9%,257,-11.1%,
,26-30,5,66.7%,15,-11.8%,24,9.1%,72,14.3%,116,10.5%,
,31-39,,,10,0.0%,22,37.5%,18,5.9%,50,16.3%,
,40+,,,3,200.0%,11,22.2%,2,-60.0%,16,6.7%,
Enrollment,1st Time in College,2,-60.0%,,,,,,,2,-60.0%,
Status,1st Time PB,,,2,-33.3%,,,,,2,-33.3%,
,1st Time Graduate,,,2,-71.4%,1,100.0%,,,3,-57.1%,
,1st Time Professional,,,,,,,0,-100.0%,0,-100.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,5,66.7%,1,100.0%,1,100.0%,,,7,133.3%,
,Continuing,464,-6.1%,48,9.1%,55,1.9%,149,6.4%,716,-2.2%,
Tuition,Resident Tuition,442,-7.3%,34,-5.6%,23,9.5%,136,-6.2%,635,-6.5%,
Status,Non-Resident Tuition,10,233.3%,4,100.0%,3,-40.0%,1,-66.7%,18,38.5%,
,Tuition  Exemption/Waiver,19,-13.6%,15,-6.3%,31,10.7%,12,20.0%,77,1.3%,
Residency,Texas Resident,445,-8.1%,36,-2.7%,24,4.3%,139,-5.4%,644,-6.8%,
Status,"Non-TX, US Resident",24,50.0%,10,-9.1%,5,-28.6%,10,-9.1%,49,8.9%,
,"Non-TX, Non-US Resident",2,0.0%,7,16.7%,28,16.7%,,,37,15.6%,
SCH,< 6 SCH,232,1.8%,24,26.3%,13,44.4%,13,18.2%,282,5.6%,
Categories,6-8 SCH,181,-3.2%,27,-18.2%,42,5.0%,86,-41.1%,336,-17.2%,
,9-11 SCH,48,-27.3%,2,0.0%,1,-75.0%,50,4900.0%,101,38.4%,
,12-14 SCH,10,-44.4%,,,1,0.0%,,,11,-42.1%,
,15-17 SCH,0,-100.0%,,,,,,,0,-100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,82,-1.2%,16,100.0%,5,66.7%,1,0.0%,104,9.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","198
5","7.6%
-28.6%",7,-12.5%,"7
1","40.0%
0.0%",2,-77.8%,"214
6","3.9%
-25.0%",
,Full-Time,186,-18.4%,30,-21.1%,44,-2.2%,146,-1.4%,406,-11.5%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
