Demographic Summary for Blinn TEAM Students (College Station Campus),,,,,,
"Prepared by DARS, 17 Aug 12",,,,,,
Summer 2012,,"U1:
Freshmen","U2:
Sophomore",U3: Junior,Grand Total,
Headcount Total,,39,70,23,132,
"Gender Ethnicity
TAMU Age Categories Enrollment Status Tuition Status
Residency Status SCH Categories
Ft/Pt: TAMU Status
First Generation",Female,17,32,13,62,
,"Male
White Only (NEW) Asian Only (NEW)
Black Only + 2 or more/1 Black (NEW) Hispanic or Latino of any Race (NEW) Native Hawaii Only (New)
2 or More/Excluding Black (NEW) 18-21
Continuing Resident Tuition
Non-Resident  Tuition Tuition  Exemption/Waiver Texas Resident
Non-TX, US Resident
< 6 SCH
6-8 SCH
9-11 SCH
Less Than Half Time Half-Time
Full-Time No Unknown
Yes",22,38,10,70,
,,29,50,17,96,
,,2,2,4,8,
,,,3,,3,
,,7,12,2,21,
,,,1,,1,
,,1,2,,3,
,,39,70,23,132,
,,39,70,23,132,
,,37,65,22,124,
,,1,1,,2,
,,1,4,1,6,
,,38,68,23,129,
,,1,2,,3,
,,37,56,17,110,
,,2,12,6,20,
,,,2,,2,
,,29,35,13,77,
,,10,33,10,53,
,,,2,,2,
,,29,50,16,95,
,,1,2,,3,
,,9,18,7,34,
