Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,518,100.0%,228,100.0%,465,100.0%,,,"1,211",100.0%,
,,243,46.9%,79,34.6%,143,30.8%,,,465,38.4%,
,,275,53.1%,149,65.4%,322,69.2%,,,746,61.6%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),282,54.4%,117,51.3%,156,33.5%,,,555,45.8%,
,American Indian Only (NEW),1,.2%,1,.4%,2,.4%,,,4,.3%,
,Asian Only (NEW),53,10.2%,14,6.1%,11,2.4%,,,78,6.4%,
,Black Only + 2 or more/1 Black (NEW),20,3.9%,6,2.6%,7,1.5%,,,33,2.7%,
,Hispanic or Latino of any Race (NEW),114,22.0%,21,9.2%,23,4.9%,,,158,13.0%,
,Native Hawaii Only (New),,,,,,,,,,,
,2 or More/Excluding Black (NEW),13,2.5%,3,1.3%,6,1.3%,,,22,1.8%,
,International,11,2.1%,63,27.6%,257,55.3%,,,331,27.3%,
,Unknown or Not Reported,24,4.6%,3,1.3%,3,.6%,,,30,2.5%,
,<18,,,,,,,,,,,
,18-21,327,63.1%,,,,,,,327,27.0%,
,22-25,180,34.7%,98,43.0%,102,21.9%,,,380,31.4%,
,26-30,9,1.7%,64,28.1%,261,56.1%,,,334,27.6%,
,31-39,2,.4%,33,14.5%,93,20.0%,,,128,10.6%,
,40+,,,33,14.5%,9,1.9%,,,42,3.5%,
,1st Time in College,5,1.0%,,,,,,,5,.4%,
,1st Time PB,,,17,7.5%,,,,,17,1.4%,
,1st Time Graduate,,,20,8.8%,3,.6%,,,23,1.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,4,.8%,,,,,,,4,.3%,
,Readmitted,1,.2%,,,,,,,1,.1%,
,Continuing,508,98.1%,191,83.8%,462,99.4%,,,"1,161",95.9%,
,Resident Tuition,464,89.6%,111,48.7%,83,17.8%,,,658,54.3%,
,Non-Resident Tuition,31,6.0%,18,7.9%,25,5.4%,,,74,6.1%,
,Tuition Exemption/Waiver,23,4.4%,99,43.4%,357,76.8%,,,479,39.6%,
,Texas Resident,477,92.1%,116,50.9%,88,18.9%,,,681,56.2%,
,"Non-TX, US Resident",30,5.8%,49,21.5%,118,25.4%,,,197,16.3%,
,"Non-TX, Non-US Resident",11,2.1%,63,27.6%,259,55.7%,,,333,27.5%,
,< 6 SCH,239,46.1%,95,41.7%,60,12.9%,,,394,32.5%,
,6-8 SCH,200,38.6%,129,56.6%,404,86.9%,,,733,60.5%,
,9-11 SCH,64,12.4%,3,1.3%,1,.2%,,,68,5.6%,
,12-14 SCH,13,2.5%,1,.4%,,,,,14,1.2%,
,15-17 SCH,1,.2%,,,,,,,1,.1%,
,>17 SCH,1,.2%,,,,,,,1,.1%,
,Less Than Half Time,168,32.4%,12,5.3%,27,5.8%,,,207,17.1%,
,Half-Time,246,47.5%,85,37.3%,33,7.1%,,,364,30.1%,
,Full-Time,104,20.1%,131,57.5%,405,87.1%,,,640,52.8%,
,No,291,56.2%,226,99.1%,456,98.1%,,,973,80.3%,
,Yes,227,43.8%,2,.9%,9,1.9%,,,238,19.7%,
,No,352,68.0%,105,46.1%,252,54.2%,,,709,58.5%,
,Unknown,50,9.7%,71,31.1%,62,13.3%,,,183,15.1%,
,Yes,116,22.4%,52,22.8%,151,32.5%,,,319,26.3%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
