Summer 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Business Admin,ACCT,217,168,,,11,14,9,6,34,15,,,4,2,11,4,1,2,287,211,498
,AGBU,2,2,,,,,,,,,,,,,,,,,2,2,4
,BHNR,18,16,,1,,2,,1,3,1,,,,,,,,,21,21,42
,BUAD,73,96,,,6,16,13,10,13,18,,1,4,,7,9,1,1,117,151,268
,FINC,87,142,,,2,12,2,,12,21,,,1,1,2,8,,1,106,185,291
,INFO,31,62,1,1,4,3,4,,9,13,,,,1,,10,,,49,90,139
,MGMT,58,43,,,6,4,2,2,13,8,,,,1,4,2,,4,83,64,147
,MISY,19,22,,,2,2,1,1,2,1,,,,,20,53,,,44,79,123
,MKTG,101,41,,,4,1,2,2,10,5,,,5,2,6,6,,,128,57,185
,MLER,3,28,,,,1,,,,4,,,,,1,,,,4,33,37
,USBU,22,23,,,,,2,3,4,2,,,2,1,,,,,30,29,59
,Subtotal,631,643,1,2,35,55,35,25,100,88,,1,16,8,51,92,2,8,871,922,"1,793"
Education,ATTR,6,2,,,,,1,,,1,,,,,,,1,,8,3,11
,BIED,2,,,,,,,,6,1,,,,,,,,1,8,2,10
,CPSY,12,2,,,3,,5,1,8,2,,,2,,,,,,30,5,35
,EDAD,38,36,,,5,1,15,7,23,15,,,,,,,,1,81,60,141
,EDCI,161,32,2,,5,,32,9,16,6,,,4,1,13,8,2,2,235,58,293
,EDHL,110,15,,,6,1,6,3,24,6,,,4,,1,,,,151,25,176
,EDIS,69,5,,,,,4,,19,2,,,3,,,,,,95,7,102
,EDKI,46,49,1,,2,2,3,2,10,10,1,,1,3,1,,,,65,66,131
,EDSM,14,48,,,1,1,3,10,3,10,,,1,1,2,,,,24,70,94
,EDTC,2,,,,,,,,,,,,,,1,,,,3,,3
,EHRD,28,17,,,4,1,8,2,16,6,,,1,,9,5,,,66,31,97
,EPSY,25,6,,,1,1,3,1,5,4,,,1,1,14,3,,1,49,17,66
,HEED,17,1,,,2,,3,3,7,3,,,1,,4,1,,,34,8,42
,HLTH,64,7,,,4,,2,2,10,3,,,3,,,,,,83,12,95
,HRDL,34,7,,,3,,4,3,4,2,,1,1,1,,,,,46,14,60
,HRDV,66,21,,,1,,2,3,13,6,,,,1,,,,,82,31,113
,INST,261,20,,,2,,5,2,38,5,,,4,1,,,,,310,28,338
,KINE,86,79,,,2,5,6,3,15,20,,,,,2,12,,,111,119,230
,SPED,8,,,,1,,,,1,,,,,,,,,,10,,10
,SPMT,28,73,,1,,,6,7,9,12,,,1,3,1,2,,,45,98,143
,SPSY,11,2,,,2,,4,,6,3,,,1,,1,,,,25,5,30
,TCMG,4,18,,,1,1,,,5,8,,,1,,,,,,11,27,38
,TCML,2,14,,,1,1,,2,2,5,,,,,,,,,5,22,27
,TECR,1,,,,,,,,,,,,,,,,,,1,,1
,USEH,1,,,,,,,,,,,,,,,,,,1,,1
,Subtotal,"1,096",454,3,1,46,14,112,60,240,130,1,1,29,12,49,31,3,5,"1,579",708,"2,287"
