Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,PSSC,,,,,,,,,,,,,,
,RENR,,2,5,12,,19,,,,,,,,19
,RLEM,,1,5,8,,14,1,6,7,6,6,,,27
,RPTS,,16,62,90,1,169,,3,3,2,2,,,174
,SOSC,,,,,,,,6,6,5,5,,,11
,SPSA,,1,3,2,,6,,,,,,,,6
,TOXI,,,,,,,,,,1,1,,,1
,USAL,,,10,23,,33,,,,,,,,33
,WFSC,1,2,19,37,,59,,14,14,13,13,,,86
,WISC,,,,,,,,9,9,,,,,9
,WMHS,,,,,,,,2,2,,,,,2
,Subtotal,8,111,502,933,16,"1,570",5,241,246,181,181,,,"1,997"
Architecture,ARCH,,,,,,,,20,20,5,5,,,25
,COMG,,,,,,,,9,9,,,,,9
,COSC,,,30,126,1,157,,,,,,,,157
,COSL,2,21,46,9,,78,,,,,,,,78
,ENDL,2,16,8,3,,29,,,,,,,,29
,ENDS,,,6,19,,25,,,,,,,,25
,LAND,,,,10,,10,,,,,,,,10
,LANL,,2,6,1,,9,,,,,,,,9
,LDEV,,,,,,,,11,11,,,,,11
,URPL,,,,,,,,3,3,,,,,3
,URSC,,2,4,4,,10,,,,2,2,,,12
,USAR,,,3,17,,20,,,,,,,,20
,VISL,,9,13,1,,23,,,,,,,,23
,VIST,,,7,15,,22,1,20,21,,,,,43
,Subtotal,4,50,123,205,1,383,1,63,64,7,7,,,454
Business Admin,ACCT,,2,87,198,2,289,,82,82,14,14,,,385
,AGBU,,,1,3,,4,,,,,,,,4
,BHNR,,,23,11,,34,,,,,,,,34
,BUAD,7,76,76,3,,162,,7,7,,,,,169
,FINC,,,65,93,,158,,71,71,,,,,229
,INFO,,1,43,49,,93,,,,,,,,93
,MGMT,,,27,55,1,83,,12,12,6,6,,,101
,MISY,,,,,,,,41,41,,,,,41
,MKTG,,,33,87,,120,,19,19,3,3,,,142
