Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Agriculture,PSSC,,,,1,,1,,,,,,,,1
,RENR,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,,,,,
,RPTS,,2,8,3,,13,,1,1,4,4,,,18
,SOSC,,,,,,,,,,,,,,
,SPSA,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,
,USAL,,,2,1,,3,,,,,,,,3
,WFSC,,,,2,,2,,1,1,,,,,3
,WISC,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,
,Subtotal,9,17,27,46,,99,1,10,11,15,15,,,125
Architecture,ARCH,,,,,,,,1,1,,,,,1
,COMG,,,,,,,,1,1,,,,,1
,COSC,,,1,2,,3,,,,,,,,3
,COSL,,,,1,,1,,,,,,,,1
,ENDL,,,,,,,,,,,,,,
,ENDS,,,,,,,,,,,,,,
,LAND,,,,,,,,,,,,,,
,LANL,,1,,,,1,,,,,,,,1
,LDEV,,,,,,,,3,3,,,,,3
,URPL,,,,,,,,,,,,,,
,URSC,,,,1,,1,,,,1,1,,,2
,USAR,,,,1,,1,,,,,,,,1
,VISL,,,,,,,,,,,,,,
,VIST,,,,,,,,,,,,,,
,Subtotal,,1,1,5,,7,,5,5,1,1,,,13
Business Admin,ACCT,,,2,8,,10,,5,5,,,,,15
,AGBU,,,,,,,,,,,,,,
,BHNR,,,,1,,1,,,,,,,,1
,BUAD,5,10,4,,,19,,4,4,,,,,23
,FINC,,,1,1,,2,,,,,,,,2
,INFO,,,1,3,,4,,,,,,,,4
,MGMT,,,2,,,2,,1,1,1,1,,,4
,MISY,,,,,,,,2,2,,,,,2
,MKTG,,,1,2,,3,,1,1,,,,,4
