Summer 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,12,20,32,,,,,,,2,1,3,1,1,2,1,,1,,,16,22,38,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,7,12,19,,,,,,,2,,2,1,1,2,1,,1,,,11,13,24,
,22-25,5,6,11,,,,,,,,1,1,,,,,,,,,5,7,12,
,26-30,,,,,,,,,,,,,,,,,,,,,,,,
,31-39,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,40+,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,5,4,9,,,,,,,1,1,2,1,1,2,1,,1,,,8,6,14,
,Junior,4,16,20,,,,,,,1,,1,,,,,,,,,5,16,21,
,Senior,3,,3,,,,,,,,,,,,,,,,,,3,,3,
,PB,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,11,20,31,,,,,,,2,,2,1,1,2,,,,,,14,21,35,
,Non-Resident Tuition,,,,,,,,,,,,,,,,1,,1,,,1,,1,
,Tuition,1,,1,,,,,,,,1,1,,,,,,,,,1,1,2,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,12,20,32,,,,,,,2,1,3,1,1,2,,,,,,15,22,37,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,1,,1,,,1,,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,5,11,16,,,,,,,,,,1,1,2,,,,,,6,12,18,
,6-8 SCH,4,8,12,,,,,,,2,,2,,,,1,,1,,,7,8,15,
,9-11 SCH,2,1,3,,,,,,,,1,1,,,,,,,,,2,2,4,
,12-14 SCH,1,,1,,,,,,,,,,,,,,,,,,1,,1,
,Less Than Half Time,4,9,13,,,,,,,,,,1,1,2,,,,,,5,10,15,
,Half-Time,4,10,14,,,,,,,2,,2,,,,1,,1,,,7,10,17,
,Full-Time,4,1,5,,,,,,,,1,1,,,,,,,,,4,2,6,
,No,10,20,30,,,,,,,2,1,3,1,1,2,1,,1,,,14,22,36,
,Yes,2,,2,,,,,,,,,,,,,,,,,,2,,2,
,No,8,14,22,,,,,,,1,,1,1,1,2,,,,,,10,15,25,
,Unknown,,1,1,,,,,,,,,,,,,1,,1,,,1,1,2,
,Yes,4,5,9,,,,,,,1,1,2,,,,,,,,,5,6,11,
,Off-campus,11,20,31,,,,,,,2,1,3,1,1,2,1,,1,,,15,22,37,
,Dorm (On-campus),1,,1,,,,,,,,,,,,,,,,,,1,,1,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,
