Summer 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,Internationa,,l,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,51,57,108,1,4,5,2,3,5,9,10,19,1,4,5,2,1,3,2,2,66,81,147,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,36,26,62,,1,1,1,2,3,6,8,14,1,2,3,1,1,2,2,2,45,42,87,
,22-25,12,19,31,1,3,4,1,,1,3,2,5,,2,2,1,,1,,,18,26,44,
,26-30,2,7,9,,,,,1,1,,,,,,,,,,,,2,8,10,
,31-39,,4,4,,,,,,,,,,,,,,,,,,,4,4,
,40+,1,1,2,,,,,,,,,,,,,,,,,,1,1,2,
,Freshman,1,2,3,,,,,2,2,,,,,,,,,,,,1,4,5,
,Sophomore,26,19,45,,1,1,2,,2,4,6,10,1,2,3,2,1,3,1,1,35,30,65,
,Junior,18,31,49,,3,3,,,,5,4,9,,1,1,,,,1,1,23,40,63,
,Senior,6,3,9,1,,1,,1,1,,,,,1,1,,,,,,7,5,12,
,PB,,2,2,,,,,,,,,,,,,,,,,,,2,2,
,Resident Tuition,49,52,101,1,4,5,1,3,4,8,9,17,1,4,5,,,,1,1,60,73,133,
,Non-Resident Tuition,,1,1,,,,,,,,,,,,,2,1,3,1,1,2,3,5,
,Tuition,2,4,6,,,,1,,1,1,1,2,,,,,,,,,4,5,9,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,51,55,106,1,4,5,2,3,5,9,10,19,1,4,5,,,,1,1,64,77,141,
,"Non-TX, US Resident",,2,2,,,,,,,,,,,,,,,,1,1,,3,3,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,2,1,3,,,2,1,3,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,20,24,44,,1,1,1,,1,3,2,5,1,1,2,,,,,,25,28,53,
,6-8 SCH,20,23,43,1,3,4,,3,3,4,6,10,,2,2,1,,1,2,2,26,39,65,
,9-11 SCH,7,5,12,,,,1,,1,,1,1,,1,1,,1,1,,,8,8,16,
,12-14 SCH,4,5,9,,,,,,,2,1,3,,,,1,,1,,,7,6,13,
,Less Than Half Time,12,21,33,,1,1,,,,3,2,5,1,1,2,,,,,,16,25,41,
,Half-Time,26,25,51,1,3,4,1,3,4,3,6,9,,2,2,1,1,2,1,1,32,41,73,
,Full-Time,13,11,24,,,,1,,1,3,2,5,,1,1,1,,1,1,1,18,15,33,
,No,44,56,100,1,4,5,2,2,4,9,10,19,1,3,4,2,1,3,2,2,59,78,137,
,Yes,7,1,8,,,,,1,1,,,,,1,1,,,,,,7,3,10,
,No,33,39,72,1,1,2,2,1,3,5,5,10,1,3,4,,,,,,42,49,91,
,Unknown,2,3,5,,,,,,,,,,,,,2,1,3,2,2,4,6,10,
,Yes,16,15,31,,3,3,,2,2,4,5,9,,1,1,,,,,,20,26,46,
,Off-campus,48,55,103,1,4,5,2,3,5,9,10,19,1,4,5,2,,2,2,2,63,78,141,
,Dorm (On-campus),3,2,5,,,,,,,,,,,,,,1,1,,,3,3,6,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,
