Summer 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,"2 or More/
Black (NEW)",Excluding,Interna,tional,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,ANTH,35,18,,,,1,3,1,13,7,,,,1,,2,,,51,30,81,
,CLSS,1,,,,,,,,,,,,,,,,,,1,,1,
,COMM,130,39,1,,5,,5,4,16,6,,,6,1,4,1,,,167,51,218,
,ECON,37,141,,1,1,15,2,9,6,25,,,,3,34,30,,2,80,226,306,
,ENGL,110,38,2,,6,2,11,,28,11,,,6,2,2,4,,,165,57,222,
,FREN,5,,,,,,,,1,1,,,,,,,1,,7,1,8,
,GERM,,2,,,,,,,,,,,,,,1,,,,3,3,
,HISP,,,,,,,,,8,5,,,,,,4,,,8,9,17,
,HIST,64,94,,,1,2,2,1,15,20,,,3,4,3,1,,1,88,123,211,
,INTS,86,65,,1,3,5,6,6,39,13,,,3,4,2,1,,,139,95,234,
,MUSC,2,6,,,,,,1,1,2,,,,,,,,,3,9,12,
,NRSC,1,5,,,1,,,1,1,1,,,,,2,1,,,5,8,13,
,NUTR,1,,,,,,,,,,,,,,,,,,1,,1,
,PHIL,8,18,,1,2,1,1,,1,5,,,,,,,,1,12,26,38,
,POLS,51,104,,,7,7,7,6,14,27,,,3,1,4,1,,1,86,147,233,
,PSYC,265,88,,1,17,13,19,7,78,24,,,5,,7,6,2,,393,139,532,
,RUSS,1,4,,,,,,,1,,,,1,,,,,,3,4,7,
,SOCI,85,32,,,6,2,22,16,39,19,,,1,1,3,2,1,2,157,74,231,
,SPAN,11,2,,,,,,,10,7,,,,,,,,,21,9,30,
,TCMS,20,16,,,,1,1,1,1,2,,,,,,,,1,22,21,43,
,THAR,6,1,,,,,,1,1,,,,,,,,,,7,2,9,
,USLA,1,3,,,,,,,2,,,,,,,,,,3,3,6,
,WGST,2,,,,1,,1,,3,,,,,,,,,,7,,7,
,Subtotal,922,676,3,4,50,49,80,54,278,175,,,28,17,61,54,4,8,"1,426","1,037","2,463",
Science,APHY,,5,1,,,,,,1,1,,,1,,,1,,,3,7,10,
,APMS,5,19,,,2,,,,,3,,,,2,,,1,1,8,25,33,
,BIOL,71,70,,1,19,20,8,3,32,25,,,1,2,15,8,1,1,147,130,277,
,BMCB,8,4,,,,3,,,1,5,,,,,,1,,1,9,14,23,
,CHEM,44,74,,1,6,10,3,4,15,17,,,2,,39,87,8,7,117,200,317,
,MATH,38,50,,,4,,3,1,6,13,,,4,3,24,50,,,79,117,196,
,MBIO,4,8,,,,1,2,,2,1,,,,,4,1,,,12,11,23,
,MSEN,,,,,,,,,,,,,,,,2,,,,2,2,
,PHYS,10,66,,,1,4,,3,2,13,,,1,3,4,64,3,5,21,158,179,
,STAT,17,34,,1,4,4,1,3,6,7,,,1,1,14,17,1,1,44,68,112,
,USSC,6,2,,,,,1,,1,2,,,,,,,,,8,4,12,
,ZOOL,11,9,,,,,1,,5,,,,,1,,,,,17,10,27,
,Subtotal,214,341,1,3,36,42,19,14,71,87,,,10,12,100,231,14,16,465,746,"1,211",
"Veterinary Medicine
General Studies
Other - Special Populations",BIMS,187,95,1,,29,24,14,4,51,19,,,6,3,13,16,,1,301,162,463,
,BIOT,,,,,,,,,,,,,,,1,,,,1,,1,
,GENE,5,2,,,,,,,,,,,,,,,,,5,2,7,
,LAMD,2,,,,,,,,,,,,,,,,,,2,,2,
,STJR,1,,,,,,,,,,,,1,,2,,,,4,,4,
,TOXI,6,1,,,,1,2,,,,,,,,2,4,,,10,6,16,
,VPAT,9,1,,,,,,,,2,,,,,,1,,,9,4,13,
,VPHY,1,,,,,,,,,,,,,,,,,,1,,1,
,VTMD,108,25,,,3,,2,,13,8,,,2,,,,1,1,129,34,163,
,VTMI,4,1,,,,,2,,1,,,,,,2,1,,,9,2,11,
,Subtotal,323,125,1,,32,25,20,4,65,29,,,9,3,20,22,1,2,471,210,681,
,GEST,205,263,3,2,9,16,26,20,64,84,,1,7,5,1,10,,1,315,402,717,
,TEAM,44,52,,,6,2,2,1,10,11,,1,,3,,,,,62,70,132,
,Subtotal,249,315,3,2,15,18,28,21,74,95,,2,7,8,1,10,,1,377,472,849,
,GACD,2,,,,,,,,,,,,,,,,,,2,,2,
,MDSC,,,,,,,,,1,,,,,,1,,2,,4,,4,
,MEEN,,,,,,,,,,,,,,,,1,,,,1,1,
,OCRE,,,,,,,,,,1,,,,,,,,,,1,1,
,PHLT,1,4,,,,,1,,,,,,,,1,,,,3,4,7,
,REEP,,,,,,,,,,,,,,,3,2,,,3,2,5,
,Subtotal,3,4,,,,,1,,1,1,,,,,5,3,2,,12,8,20,
Total,,"5,017","5,536",28,26,307,415,384,337,"1,206","1,218",6,8,141,141,736,"1,594",70,100,"7,895","9,375","17,270",
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,
