Summer 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,3,6,9,,,,,,,3,3,6,,,,1,,1,,,7,9,16,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,1,,1,,,,,,,2,3,5,,,,,,,,,3,3,6,
,22-25,,5,5,,,,,,,1,,1,,,,1,,1,,,2,5,7,
,26-30,2,1,3,,,,,,,,,,,,,,,,,,2,1,3,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,1,4,5,,,,,,,1,2,3,,,,1,,1,,,3,6,9,
,Junior,1,,1,,,,,,,2,1,3,,,,,,,,,3,1,4,
,Senior,1,2,3,,,,,,,,,,,,,,,,,,1,2,3,
,PB,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,3,6,9,,,,,,,2,3,5,,,,,,,,,5,9,14,
,Non-Resident Tuition,,,,,,,,,,,,,,,,1,,1,,,1,,1,
,Tuition,,,,,,,,,,1,,1,,,,,,,,,1,,1,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,3,6,9,,,,,,,3,3,6,,,,,,,,,6,9,15,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,1,,1,,,1,,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,2,3,5,,,,,,,1,2,3,,,,,,,,,3,5,8,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,1,2,3,,,,,,,2,1,3,,,,1,,1,,,4,3,7,
,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,2,3,5,,,,,,,1,2,3,,,,,,,,,3,5,8,
,Full-Time,1,2,3,,,,,,,2,1,3,,,,1,,1,,,4,3,7,
,No,2,6,8,,,,,,,3,3,6,,,,1,,1,,,6,9,15,
,Yes,1,,1,,,,,,,,,,,,,,,,,,1,,1,
,No,1,4,5,,,,,,,2,1,3,,,,,,,,,3,5,8,
,Unknown,,,,,,,,,,,,,,,,1,,1,,,1,,1,
,Yes,2,2,4,,,,,,,1,2,3,,,,,,,,,3,4,7,
,Off-campus,3,6,9,,,,,,,3,3,6,,,,1,,1,,,7,9,16,
,Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,
