Residency Status by Tuition Status by College (College Station Campus),,,,,,,,,,,
Summer 2012,,,Tuition Status,,,,,,,,
,,,Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
Agriculture,rstatus,"Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident","2,363",100.0%,0,.0%,72,16.3%,"2,435",83.0%,
,,,0,.0%,66,52.4%,172,38.8%,238,8.1%,
,,,0,.0%,60,47.6%,199,44.9%,259,8.8%,
"Architecture
Business Admin
Education
Engineering
G. Bush School of G
Geosciences
Liberal Arts
Science
Veterinary Medicin
General Studies
Other - Special Populations
Total","rstatus
rstatus
rstatus
rstatus
ovt        rstatus
rstatus
rstatus
rstatus
e            rstatus
rstatus
rstatus
rstatus",Texas Resident,551,100.0%,0,.0%,19,23.8%,570,85.5%,
,,"Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident",0,.0%,6,16.7%,16,20.0%,22,3.3%,
,,,0,.0%,30,83.3%,45,56.3%,75,11.2%,
,,,"1,559",100.0%,2,2.1%,36,25.7%,"1,597",89.1%,
,,,0,.0%,11,11.7%,43,30.7%,54,3.0%,
,,,0,.0%,81,86.2%,61,43.6%,142,7.9%,
,,,"2,020",100.0%,9,11.0%,81,44.0%,"2,110",92.3%,
,,,0,.0%,38,46.3%,59,32.1%,97,4.2%,
,,,1,.0%,35,42.7%,44,23.9%,80,3.5%,
,,,"2,259",100.0%,8,1.7%,92,8.4%,"2,359",61.8%,
,,,0,.0%,52,11.2%,219,20.1%,271,7.1%,
,,,0,.0%,405,87.1%,781,71.5%,"1,186",31.1%,
,,,70,100.0%,4,30.8%,12,42.9%,86,77.5%,
,,,0,.0%,9,69.2%,13,46.4%,22,19.8%,
,,,0,.0%,0,.0%,3,10.7%,3,2.7%,
,,,274,100.0%,2,3.6%,11,9.9%,287,65.2%,
,,,0,.0%,23,41.8%,48,43.2%,71,16.1%,
,,,0,.0%,30,54.5%,52,46.8%,82,18.6%,
,,,"2,056",100.0%,2,1.7%,98,33.7%,"2,156",87.5%,
,,,0,.0%,43,37.1%,149,51.2%,192,7.8%,
,,,0,.0%,71,61.2%,44,15.1%,115,4.7%,
,,,658,100.0%,2,2.7%,21,4.4%,681,56.2%,
,,,0,.0%,35,47.3%,162,33.8%,197,16.3%,
,,,0,.0%,37,50.0%,296,61.8%,333,27.5%,
,,,580,100.0%,0,.0%,19,20.2%,599,88.0%,
,,,0,.0%,5,71.4%,35,37.2%,40,5.9%,
,,,0,.0%,2,28.6%,40,42.6%,42,6.2%,
,,,786,100.0%,3,7.7%,13,54.2%,802,94.5%,
,,,0,.0%,27,69.2%,10,41.7%,37,4.4%,
,,,0,.0%,9,23.1%,1,4.2%,10,1.2%,
,,,8,100.0%,1,11.1%,0,.0%,9,45.0%,
,,,0,.0%,0,.0%,2,66.7%,2,10.0%,
,,,0,.0%,8,88.9%,1,33.3%,9,45.0%,
,,,"13,184",100.0%,33,3.0%,474,16.0%,"13,691",79.3%,
,,,0,.0%,315,28.2%,928,31.3%,"1,243",7.2%,
,,,1,.0%,768,68.8%,"1,567",52.8%,"2,336",13.5%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,
