Demographic Summary by Entry Status (College Station Campus),,,,,,,,,,,
Summer 2012,,Undergraduate,,,,Graduate,,,,Profession al,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,Continuing,
Head Count,Total,486,147,87,"10,925",71,391,7,"4,993",163,
"Gender Ethnicity
TAMU Age Categories
College
Student Level
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
First Generation",Female,219,66,27,"5,210",27,193,4,"2,020",129,
,Male,267,81,60,"5,715",44,198,3,"2,973",34,
,White Only (NEW),305,108,60,"7,580",53,277,5,"2,032",133,
,American Indian Only (NEW),3,,,38,1,1,,11,,
,Asian Only (NEW),12,5,3,524,1,12,,162,3,
,Black Only + 2 or more/1 Black (NEW),37,5,4,446,4,17,2,204,2,
,Hispanic or Latino of any Race (NEW),112,19,18,"1,773",6,36,,439,21,
,Native Hawaii Only (New),3,,,10,,,,1,,
,2 or More/Excluding Black (NEW),11,5,2,210,2,2,,48,2,
,International,2,3,,228,2,44,,"2,051",,
,Unknown or Not Reported,1,2,,116,2,2,,45,2,
,<18,2,,,,,,,,,
,18-21,483,87,8,"5,986",1,14,,6,,
,22-25,1,44,63,"4,577",9,275,,"1,568",73,
,26-30,,10,12,228,22,59,,"2,034",78,
,31-39,,4,2,97,20,27,3,"1,031",12,
,40+,,2,2,37,19,16,4,354,,
,Agriculture,6,38,29,"2,065",1,22,,771,,
,Architecture,2,16,3,479,,13,1,153,,
,Business Admin,9,17,6,"1,270",,185,,306,,
,Education,13,31,11,"1,394",10,68,3,757,,
,Engineering,34,13,9,"2,096",3,52,,"1,609",,
,G. Bush School of Govt,,,,,35,2,2,72,,
,Geosciences,16,1,1,226,1,4,1,190,,
,Liberal Arts,9,27,26,"2,045",,8,,348,,
,Science,5,4,1,508,17,23,,653,,
,Veterinary Medicine,2,,1,374,,14,,127,163,
,General Studies,390,,,459,,,,,,
,Other - Special Populations,,,,9,4,,,7,,
,Lower,486,70,9,"1,460",,,,,,
,Upper,,77,78,"9,465",,,,,,
,Masters,,,,,71,344,4,"2,348",,
,PhD,,,,,,47,3,"2,645",,
,Professional,,,,,,,,,163,
,Resident Tuition,460,133,84,"9,959",45,307,7,"2,038",152,
,Non-Resident Tuition,24,5,1,345,16,33,,691,1,
,Tuition Exemption/Waiver,2,9,2,621,10,51,,"2,264",10,
,Texas Resident,464,141,86,"10,313",57,319,7,"2,149",155,
,"Non-TX, US Resident",21,3,1,386,11,28,,785,8,
,"Non-TX, Non-US Resident",1,3,,226,3,44,,"2,059",,
,< 6 SCH,18,53,24,"4,326",50,83,7,"1,720",29,
,6-8 SCH,468,65,37,"4,177",19,149,,"2,993",132,
,9-11 SCH,,16,12,"1,502",1,94,,226,1,
,12-14 SCH,,13,12,853,1,65,,51,1,
,15-17 SCH,,,2,58,,,,2,,
,>17 SCH,,,,9,,,,1,,
,Less Than Half Time,3,41,22,"3,164",1,15,3,757,,
,Half-Time,483,73,39,"4,871",48,70,4,955,33,
,Full-Time,,33,26,"2,890",22,306,,"3,281",130,
,No,326,91,57,"7,483",43,142,3,"2,587",7,
,Unknown,13,10,,529,8,176,3,"1,115",155,
,Yes,147,46,30,"2,913",20,73,1,"1,291",1,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,
