Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,,,111,100.0%,,,,,111,100.0%,
,,,,44,39.6%,,,,,44,39.6%,
,,,,67,60.4%,,,,,67,60.4%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),,,80,72.1%,,,,,80,72.1%,
,American Indian Only (NEW),,,1,.9%,,,,,1,.9%,
,Asian Only (NEW),,,4,3.6%,,,,,4,3.6%,
,Black Only + 2 or more/1 Black (NEW),,,7,6.3%,,,,,7,6.3%,
,Hispanic or Latino of any Race (NEW),,,11,9.9%,,,,,11,9.9%,
,Native Hawaii Only (New),,,,,,,,,,,
,2 or More/Excluding Black (NEW),,,4,3.6%,,,,,4,3.6%,
,International,,,3,2.7%,,,,,3,2.7%,
,Unknown or Not Reported,,,1,.9%,,,,,1,.9%,
,<18,,,,,,,,,,,
,18-21,,,1,.9%,,,,,1,.9%,
,22-25,,,29,26.1%,,,,,29,26.1%,
,26-30,,,31,27.9%,,,,,31,27.9%,
,31-39,,,30,27.0%,,,,,30,27.0%,
,40+,,,20,18.0%,,,,,20,18.0%,
,1st Time in College,,,,,,,,,,,
,1st Time PB,,,35,31.5%,,,,,35,31.5%,
,1st Time Graduate,,,2,1.8%,,,,,2,1.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,2,1.8%,,,,,2,1.8%,
,Continuing,,,72,64.9%,,,,,72,64.9%,
,Resident Tuition,,,70,63.1%,,,,,70,63.1%,
,Non-Resident Tuition,,,13,11.7%,,,,,13,11.7%,
,Tuition Exemption/Waiver,,,28,25.2%,,,,,28,25.2%,
,Texas Resident,,,86,77.5%,,,,,86,77.5%,
,"Non-TX, US Resident",,,22,19.8%,,,,,22,19.8%,
,"Non-TX, Non-US Resident",,,3,2.7%,,,,,3,2.7%,
,< 6 SCH,,,80,72.1%,,,,,80,72.1%,
,6-8 SCH,,,27,24.3%,,,,,27,24.3%,
,9-11 SCH,,,2,1.8%,,,,,2,1.8%,
,12-14 SCH,,,2,1.8%,,,,,2,1.8%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
,Less Than Half Time,,,5,4.5%,,,,,5,4.5%,
,Half-Time,,,75,67.6%,,,,,75,67.6%,
,Full-Time,,,31,27.9%,,,,,31,27.9%,
,No,,,108,97.3%,,,,,108,97.3%,
,Yes,,,3,2.7%,,,,,3,2.7%,
,No,,,80,72.1%,,,,,80,72.1%,
,Unknown,,,10,9.0%,,,,,10,9.0%,
,Yes,,,21,18.9%,,,,,21,18.9%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
