2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,2,1,,3,,2,2,,,,,5,
,ALEC,,2,4,5,1,12,,1,1,,,,,13,
,ANSC,,2,1,2,,5,,1,1,,,,,6,
,BAEN,,2,1,1,,4,,,,,,,,4,
,BCBP,,1,,2,,3,,1,1,,,,,4,
,CLAG,,,,1,,1,,,,,,,,1,
,ENTO,,,,1,,1,,,,,,,,1,
,ESSM,,,1,1,,2,,1,1,,,,,3,
,HRSC,,,1,,,1,,,,,,,,1,
,NFSC,,,4,5,,9,,,,,,,,9,
,PLPM,,,,1,,1,,,,,,,,1,
,POSC,,,,1,,1,,,,,,,,1,
,RPTS,,1,3,,,4,,,,,,,,4,
,SCSC,,,,1,,1,,,,,,,,1,
,WFSC,,,1,,,1,,,,,,,,1,
,Subtotal,,8,18,22,1,49,,6,6,,,,,55,
Architecture,ARCH,,,,1,,1,,,,,,,,1,
,CLAR,,,,1,,1,,,,,,,,1,
,COSC,,,1,4,,5,,,,,,,,5,
,LAUP,,,,2,,2,,,,,,,,2,
,VIZA,,,,1,,1,,,,,,,,1,
,Subtotal,,,1,9,,10,,,,,,,,10,
Business Admin,ACCT,,,2,3,,5,,1,1,,,,,6,
,CLBA,,1,5,1,,7,,,,,,,,7,
,FINC,,,1,,,1,,1,1,,,,,2,
,INFO,,,,1,,1,,,,,,,,1,
,MGMT,,,,1,,1,,,,,,,,1,
,MKTG,,,3,4,,7,,,,,,,,7,
,Subtotal,,1,11,10,,22,,2,2,,,,,24,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,1,3,,4,,1,1,,,,,5,
,EPSY,,,2,,,2,,3,3,2,2,,,7,
,HLKN,,1,7,8,,16,,1,1,1,1,,,18,
,TLAC,,1,2,3,,6,,4,4,1,1,,,11,
,Subtotal,,2,12,14,,28,,9,9,4,4,,,41,
