Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,244,100.0%,94,100.0%,102,100.0%,,,440,100.0%,
,,89,36.5%,39,41.5%,47,46.1%,,,175,39.8%,
,,155,63.5%,55,58.5%,55,53.9%,,,265,60.2%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),160,65.6%,66,70.2%,35,34.3%,,,261,59.3%,
,American Indian Only (NEW),3,1.2%,2,2.1%,,,,,5,1.1%,
,Asian Only (NEW),14,5.7%,,,2,2.0%,,,16,3.6%,
,Black Only + 2 or more/1 Black (NEW),3,1.2%,1,1.1%,2,2.0%,,,6,1.4%,
,Hispanic or Latino of any Race (NEW),38,15.6%,7,7.4%,3,2.9%,,,48,10.9%,
,Native Hawaii Only (New),,,,,,,,,,,
,2 or More/Excluding Black (NEW),4,1.6%,,,2,2.0%,,,6,1.4%,
,International,10,4.1%,17,18.1%,56,54.9%,,,83,18.9%,
,Unknown or Not Reported,12,4.9%,1,1.1%,2,2.0%,,,15,3.4%,
,<18,,,,,,,,,,,
,18-21,108,44.3%,,,,,,,108,24.5%,
,22-25,126,51.6%,44,46.8%,9,8.8%,,,179,40.7%,
,26-30,6,2.5%,38,40.4%,51,50.0%,,,95,21.6%,
,31-39,3,1.2%,11,11.7%,35,34.3%,,,49,11.1%,
,40+,1,.4%,1,1.1%,7,6.9%,,,9,2.0%,
,1st Time in College,16,6.6%,,,,,,,16,3.6%,
,1st Time PB,,,1,1.1%,,,,,1,.2%,
,1st Time Graduate,,,4,4.3%,,,,,4,.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,1,.4%,,,,,,,1,.2%,
,Readmitted,1,.4%,1,1.1%,,,,,2,.5%,
,Continuing,226,92.6%,88,93.6%,102,100.0%,,,416,94.5%,
,Resident Tuition,208,85.2%,42,44.7%,24,23.5%,,,274,62.3%,
,Non-Resident Tuition,25,10.2%,15,16.0%,15,14.7%,,,55,12.5%,
,Tuition Exemption/Waiver,11,4.5%,37,39.4%,63,61.8%,,,111,25.2%,
,Texas Resident,218,89.3%,44,46.8%,25,24.5%,,,287,65.2%,
,"Non-TX, US Resident",17,7.0%,33,35.1%,21,20.6%,,,71,16.1%,
,"Non-TX, Non-US Resident",9,3.7%,17,18.1%,56,54.9%,,,82,18.6%,
,< 6 SCH,111,45.5%,32,34.0%,33,32.4%,,,176,40.0%,
,6-8 SCH,102,41.8%,60,63.8%,69,67.6%,,,231,52.5%,
,9-11 SCH,28,11.5%,,,,,,,28,6.4%,
,12-14 SCH,3,1.2%,2,2.1%,,,,,5,1.1%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
,Less Than Half Time,72,29.5%,21,22.3%,22,21.6%,,,115,26.1%,
,Half-Time,137,56.1%,11,11.7%,11,10.8%,,,159,36.1%,
,Full-Time,35,14.3%,62,66.0%,69,67.6%,,,166,37.7%,
,No,171,70.1%,91,96.8%,99,97.1%,,,361,82.0%,
,Yes,73,29.9%,3,3.2%,3,2.9%,,,79,18.0%,
,No,152,62.3%,59,62.8%,41,40.2%,,,252,57.3%,
,Unknown,28,11.5%,5,5.3%,19,18.6%,,,52,11.8%,
,Yes,64,26.2%,30,31.9%,42,41.2%,,,136,30.9%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
