Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,500,100.0%,139,100.0%,28,100.0%,,,667,100.0%,
,,128,25.6%,60,43.2%,6,21.4%,,,194,29.1%,
,,372,74.4%,79,56.8%,22,78.6%,,,473,70.9%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),383,76.6%,64,46.0%,7,25.0%,,,454,68.1%,
,American Indian Only (NEW),2,.4%,,,,,,,2,.3%,
,Asian Only (NEW),8,1.6%,4,2.9%,,,,,12,1.8%,
,Black Only + 2 or more/1 Black (NEW),7,1.4%,5,3.6%,1,3.6%,,,13,1.9%,
,Hispanic or Latino of any Race (NEW),84,16.8%,12,8.6%,1,3.6%,,,97,14.5%,
,Native Hawaii Only (New),1,.2%,,,,,,,1,.1%,
,2 or More/Excluding Black (NEW),10,2.0%,,,,,,,10,1.5%,
,International,5,1.0%,52,37.4%,18,64.3%,,,75,11.2%,
,Unknown or Not Reported,,,2,1.4%,1,3.6%,,,3,.4%,
,<18,,,,,,,,,,,
,18-21,217,43.4%,,,,,,,217,32.5%,
,22-25,257,51.4%,72,51.8%,,,,,329,49.3%,
,26-30,15,3.0%,47,33.8%,5,17.9%,,,67,10.0%,
,31-39,10,2.0%,12,8.6%,17,60.7%,,,39,5.8%,
,40+,1,.2%,8,5.8%,6,21.4%,,,15,2.2%,
,1st Time in College,2,.4%,,,,,,,2,.3%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,13,9.4%,,,,,13,1.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,16,3.2%,,,,,,,16,2.4%,
,Readmitted,3,.6%,1,.7%,,,,,4,.6%,
,Continuing,479,95.8%,125,89.9%,28,100.0%,,,632,94.8%,
,Resident Tuition,471,94.2%,75,54.0%,5,17.9%,,,551,82.6%,
,Non-Resident Tuition,6,1.2%,26,18.7%,4,14.3%,,,36,5.4%,
,Tuition Exemption/Waiver,23,4.6%,38,27.3%,19,67.9%,,,80,12.0%,
,Texas Resident,486,97.2%,76,54.7%,8,28.6%,,,570,85.5%,
,"Non-TX, US Resident",9,1.8%,11,7.9%,2,7.1%,,,22,3.3%,
,"Non-TX, Non-US Resident",5,1.0%,52,37.4%,18,64.3%,,,75,11.2%,
,< 6 SCH,188,37.6%,63,45.3%,10,35.7%,,,261,39.1%,
,6-8 SCH,162,32.4%,67,48.2%,17,60.7%,,,246,36.9%,
,9-11 SCH,60,12.0%,7,5.0%,,,,,67,10.0%,
,12-14 SCH,78,15.6%,2,1.4%,1,3.6%,,,81,12.1%,
,15-17 SCH,11,2.2%,,,,,,,11,1.6%,
,>17 SCH,1,.2%,,,,,,,1,.1%,
,Less Than Half Time,151,30.2%,23,16.5%,6,21.4%,,,180,27.0%,
,Half-Time,184,36.8%,39,28.1%,5,17.9%,,,228,34.2%,
,Full-Time,165,33.0%,77,55.4%,17,60.7%,,,259,38.8%,
,No,341,68.2%,133,95.7%,27,96.4%,,,501,75.1%,
,Yes,159,31.8%,6,4.3%,1,3.6%,,,166,24.9%,
,No,342,68.4%,68,48.9%,15,53.6%,,,425,63.7%,
,Unknown,20,4.0%,51,36.7%,6,21.4%,,,77,11.5%,
,Yes,138,27.6%,20,14.4%,7,25.0%,,,165,24.7%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
