Summer 2012,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Education,ATTR,,,,,,10,,1,,,,,11
,BIED,,,,,,1,,9,,,,,10
,CPSY,,,,,,,,9,,,26,,35
,EDAD,,,,,1,,,38,1,1,100,,141
,EDCI,,,,,5,26,,148,2,1,111,,293
,EDHL,,3,2,171,,,,,,,,,176
,EDIS,1,6,2,93,,,,,,,,,102
,EDKI,2,6,,123,,,,,,,,,131
,EDSM,8,4,2,80,,,,,,,,,94
,EDTC,,,,,,,,3,,,,,3
,EHRD,,,,,,7,,42,5,,43,,97
,EPSY,,,,,3,1,,15,5,,42,,66
,HEED,,,,,,4,,22,,,16,,42
,HLTH,,,1,94,,,,,,,,,95
,HRDL,1,6,2,51,,,,,,,,,60
,HRDV,,,,113,,,,,,,,,113
,INST,1,6,,331,,,,,,,,,338
,KINE,,,1,159,1,,,27,3,,39,,230
,SPED,,,,,,1,,9,,,,,10
,SPMT,,,,113,,2,,28,,,,,143
,SPSY,,,,,,,,2,,1,27,,30
,TCMG,,,,38,,,,,,,,,38
,TCML,,,1,26,,,,,,,,,27
,TECR,,,,1,,,,,,,,,1
,USEH,,,,1,,,,,,,,,1
,Subtotal,13,31,11,"1,394",10,52,,353,16,3,404,,"2,287"
