Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,2,7,9,,,1,1,2,1,2,3,8,10,18,,,1,1,2,,,,,13,21,34,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,1,1,,,1,,1,,,,,1,1,2,
,18-21,2,7,9,,,1,1,2,1,2,3,8,9,17,,,,1,1,,,,,12,20,32,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,2,7,9,,,1,1,2,1,2,3,6,8,14,,,1,1,2,,,,,11,19,30,
,Sophomore,,,,,,,,,,,,2,2,4,,,,,,,,,,2,2,4,
,Resident Tuition,1,7,8,,,1,1,2,,2,2,8,10,18,,,1,1,2,,,,,11,21,32,
,Non-Resident Tuition,,,,,,,,,1,,1,,,,,,,,,,,,,1,,1,
,Tuition,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,2,7,9,,,1,1,2,,2,2,8,10,18,,,1,1,2,,,,,12,21,33,
,"Non-TX, US Resident",,,,,,,,,1,,1,,,,,,,,,,,,,1,,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,2,6,8,,,1,1,2,1,2,3,8,10,18,,,1,1,2,,,,,13,20,33,
,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,2,6,8,,,1,1,2,1,2,3,8,10,18,,,1,1,2,,,,,13,20,33,
,No,,1,1,,,,,,1,,1,,1,1,,,1,,1,,,,,2,2,4,
,Yes,2,6,8,,,1,1,2,,2,2,8,9,17,,,,1,1,,,,,11,19,30,
,No,2,7,9,,,,,,,2,2,2,1,3,,,1,,1,,,,,5,10,15,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,,1,1,2,1,,1,6,9,15,,,,1,1,,,,,8,11,19,
,Off-campus,2,7,9,,,1,1,2,1,2,3,8,10,18,,,1,1,2,,,,,13,21,34,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
