Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Business Admin,"MLER USBU
Subtotal",,,,,,,,,,,,,,
,,,,2,1,,3,,,,,,,,3
,,,1,11,10,,22,,2,2,,,,,24
"Education
Engineering",ATTR,,,,,,,,,,,,,,
,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,1,1,1,1,,,2
,EDAD,,,,,,,,,,,,,,
,EDCI,,,,,,,,4,4,1,1,,,5
,EDHL,,,3,1,,4,,,,,,,,4
,EDIS,,1,2,,,3,,,,,,,,3
,EDKI,,,3,1,,4,,,,,,,,4
,EDSM,,1,,1,,2,,,,,,,,2
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,1,1,,,,,1
,EPSY,,,,,,,,1,1,1,1,,,2
,HEED,,,,,,,,,,1,1,,,1
,HLTH,,,1,2,,3,,,,,,,,3
,HRDL,,,1,1,,2,,,,,,,,2
,HRDV,,,,1,,1,,,,,,,,1
,INST,,,2,3,,5,,,,,,,,5
,KINE,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,
,SPMT,,,,3,,3,,1,1,,,,,4
,SPSY,,,,,,,,1,1,,,,,1
,TCMG,,,,1,,1,,,,,,,,1
,TCML,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,,2,12,14,,28,,9,9,4,4,,,41
,AERL,,2,,,,2,,,,,,,,2
,AERO,,,2,,,2,,1,1,,,,,3
,BIOT,,,,,,,,,,,,,,
,BMEL,,,1,,,1,,,,,,,,1
,BMEN,,,1,2,,3,,1,1,,,,,4
,CECL,,,1,,,1,,,,,,,,1
,CECN,,,,1,,1,,,,,,,,1
