Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,Non-Resident Tuition,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
,No,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,Yes,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,No,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Off-campus,1,1,2,,,,,,,,,,,,,,,,,,,,,1,1,2,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
