Demographic Summary,,,,,,
First Generation FTIC Students  (College Station Campus),,,,,,
"Prepared by DARS, 22 Aug 12",,,,,,
Summer 2012,,First  Generation  Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,13,147,326,486,
"Gender Ethnicity
TAMU Age Categories
College
Enrollment  Status Tuition Status
Residency Status
SCH Categories Ft/Pt: TAMU Status
Top 10% Texas High School",Female,7,71,141,219,
,Male,6,76,185,267,
,White Only (NEW),6,59,240,305,
,American Indian Only (NEW),,2,1,3,
,Asian Only (NEW),1,7,4,12,
,Black Only + 2 or more/1 Black (NEW),3,18,16,37,
,Hispanic or Latino of any Race (NEW),3,55,54,112,
,Native Hawaii Only (New),,2,1,3,
,2 or More/Excluding Black (NEW),,4,7,11,
,International,,,2,2,
,Unknown or Not Reported,,,1,1,
,<18,,1,1,2,
,18-21,13,145,325,483,
,22-25,,1,,1,
,Agriculture,1,2,3,6,
,Architecture,,,2,2,
,Business Admin,2,2,5,9,
,Education,1,6,6,13,
,Engineering,,19,15,34,
,Geosciences,,5,11,16,
,Liberal Arts,,4,5,9,
,Science,,1,4,5,
,Veterinary  Medicine,,,2,2,
,General Studies,9,108,273,390,
,1st Time in College,13,147,326,486,
,Resident Tuition,11,142,307,460,
,Non-Resident  Tuition,2,5,17,24,
,Tuition  Exemption/Waiver,,,2,2,
,Texas Resident,11,142,311,464,
,"Non-TX, US Resident",2,5,14,21,
,"Non-TX, Non-US Resident",,,1,1,
,< 6 SCH,,5,13,18,
,6-8 SCH,13,142,313,468,
,Less Than Half Time,,1,2,3,
,Half-Time,13,146,324,483,
,No,13,123,299,435,
,Yes,,24,27,51,
