Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"1,302",100.0%,432,100.0%,59,100.0%,,,"1,793",100.0%,
,,660,50.7%,197,45.6%,14,23.7%,,,871,48.6%,
,,642,49.3%,235,54.4%,45,76.3%,,,922,51.4%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),988,75.9%,263,60.9%,23,39.0%,,,"1,274",71.1%,
,American Indian Only (NEW),3,.2%,,,,,,,3,.2%,
,Asian Only (NEW),65,5.0%,20,4.6%,5,8.5%,,,90,5.0%,
,Black Only + 2 or more/1 Black (NEW),46,3.5%,13,3.0%,1,1.7%,,,60,3.3%,
,Hispanic or Latino of any Race (NEW),163,12.5%,24,5.6%,1,1.7%,,,188,10.5%,
,Native Hawaii Only (New),1,.1%,,,,,,,1,.1%,
,2 or More/Excluding Black (NEW),22,1.7%,2,.5%,,,,,24,1.3%,
,International,12,.9%,107,24.8%,24,40.7%,,,143,8.0%,
,Unknown or Not Reported,2,.2%,3,.7%,5,8.5%,,,10,.6%,
,<18,,,,,,,,,,,
,18-21,848,65.1%,9,2.1%,,,,,857,47.8%,
,22-25,435,33.4%,323,74.8%,2,3.4%,,,760,42.4%,
,26-30,9,.7%,86,19.9%,27,45.8%,,,122,6.8%,
,31-39,5,.4%,14,3.2%,26,44.1%,,,45,2.5%,
,40+,5,.4%,,,4,6.8%,,,9,.5%,
,1st Time in College,9,.7%,,,,,,,9,.5%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,185,42.8%,,,,,185,10.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,17,1.3%,,,,,,,17,.9%,
,Readmitted,6,.5%,,,,,,,6,.3%,
,Continuing,"1,270",97.5%,247,57.2%,59,100.0%,,,"1,576",87.9%,
,Resident Tuition,"1,245",95.6%,304,70.4%,10,16.9%,,,"1,559",86.9%,
,Non-Resident Tuition,16,1.2%,78,18.1%,,,,,94,5.2%,
,Tuition Exemption/Waiver,41,3.1%,50,11.6%,49,83.1%,,,140,7.8%,
,Texas Resident,"1,269",97.5%,314,72.7%,14,23.7%,,,"1,597",89.1%,
,"Non-TX, US Resident",21,1.6%,12,2.8%,21,35.6%,,,54,3.0%,
,"Non-TX, Non-US Resident",12,.9%,106,24.5%,24,40.7%,,,142,7.9%,
,< 6 SCH,516,39.6%,179,41.4%,5,8.5%,,,700,39.0%,
,6-8 SCH,497,38.2%,96,22.2%,50,84.7%,,,643,35.9%,
,9-11 SCH,184,14.1%,86,19.9%,3,5.1%,,,273,15.2%,
,12-14 SCH,98,7.5%,70,16.2%,1,1.7%,,,169,9.4%,
,15-17 SCH,6,.5%,,,,,,,6,.3%,
,>17 SCH,1,.1%,1,.2%,,,,,2,.1%,
,Less Than Half Time,437,33.6%,21,4.9%,,,,,458,25.5%,
,Half-Time,544,41.8%,158,36.6%,5,8.5%,,,707,39.4%,
,Full-Time,321,24.7%,253,58.6%,54,91.5%,,,628,35.0%,
,No,725,55.7%,414,95.8%,57,96.6%,,,"1,196",66.7%,
,Yes,577,44.3%,18,4.2%,2,3.4%,,,597,33.3%,
,No,995,76.4%,36,8.3%,8,13.6%,,,"1,039",57.9%,
,Unknown,28,2.2%,387,89.6%,51,86.4%,,,466,26.0%,
,Yes,279,21.4%,9,2.1%,,,,,288,16.1%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
