Summer 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,,1,1,,,,,,,,,,,,,,,,,,,1,1,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,,,,,,,,,,,,,,,,,,,,,,,,
,22-25,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,26-30,,,,,,,,,,,,,,,,,,,,,,,,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,,,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Full-Time,,,,,,,,,,,,,,,,,,,,,,,,
,No,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,
,No,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,
,Off-campus,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,
