Texas A&M University Student Enrollment Summary Student Head Count by Level (College Station Campus),,,,,,,,,,,,
"University Summary, Summer 2012",,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
College,"Total Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations","11,645",100.0%,"2,767",100.0%,"2,695",100.0%,163,100.0%,"17,270",100.0%,
,,"2,138",18.4%,373,13.5%,421,15.6%,,,"2,932",17.0%,
,,500,4.3%,139,5.0%,28,1.0%,,,667,3.9%,
,,"1,302",11.2%,432,15.6%,59,2.2%,,,"1,793",10.4%,
,,"1,449",12.4%,415,15.0%,423,15.7%,,,"2,287",13.2%,
,,"2,152",18.5%,792,28.6%,872,32.4%,,,"3,816",22.1%,
,,,,111,4.0%,,,,,111,.6%,
,,244,2.1%,94,3.4%,102,3.8%,,,440,2.5%,
,,"2,107",18.1%,104,3.8%,252,9.4%,,,"2,463",14.3%,
,,518,4.4%,228,8.2%,465,17.3%,,,"1,211",7.0%,
,,377,3.2%,68,2.5%,73,2.7%,163,100.0%,681,3.9%,
,,849,7.3%,,,,,,,849,4.9%,
,,9,.1%,11,.4%,,,,,20,.1%,
"Gender Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",Female,"5,522",47.4%,"1,222",44.2%,"1,022",37.9%,129,79.1%,"7,895",45.7%,
,Male,"6,123",52.6%,"1,545",55.8%,"1,673",62.1%,34,20.9%,"9,375",54.3%,
,White Only (NEW),"8,053",69.2%,"1,457",52.7%,910,33.8%,133,81.6%,"10,553",61.1%,
,American Indian Only (NEW),41,.4%,8,.3%,5,.2%,,,54,.3%,
,Asian Only (NEW),544,4.7%,101,3.7%,74,2.7%,3,1.8%,722,4.2%,
,Black Only + 2 or more/1 Black (NEW),492,4.2%,97,3.5%,130,4.8%,2,1.2%,721,4.2%,
,Hispanic or Latino of any Race (NEW),"1,922",16.5%,252,9.1%,229,8.5%,21,12.9%,"2,424",14.0%,
,Native Hawaii Only (New),13,.1%,,,1,.0%,,,14,.1%,
,2 or More/Excluding Black (NEW),228,2.0%,35,1.3%,17,.6%,2,1.2%,282,1.6%,
,International,233,2.0%,792,28.6%,"1,305",48.4%,,,"2,330",13.5%,
,Unknown or Not Reported,119,1.0%,25,.9%,24,.9%,2,1.2%,170,1.0%,
,<18,2,.0%,,,,,,,2,.0%,
,18-21,"6,564",56.4%,21,.8%,,,,,"6,585",38.1%,
,22-25,"4,685",40.2%,"1,568",56.7%,284,10.5%,73,44.8%,"6,610",38.3%,
,26-30,250,2.1%,761,27.5%,"1,354",50.2%,78,47.9%,"2,443",14.1%,
,31-39,103,.9%,284,10.3%,797,29.6%,12,7.4%,"1,196",6.9%,
,40+,41,.4%,133,4.8%,260,9.6%,,,434,2.5%,
,1st Time in College,486,4.2%,,,,,,,486,2.8%,
,1st Time PB,,,71,2.6%,,,,,71,.4%,
,1st Time Graduate,,,344,12.4%,47,1.7%,,,391,2.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,147,1.3%,,,,,,,147,.9%,
,Readmitted,87,.7%,4,.1%,3,.1%,,,94,.5%,
,Continuing,"10,925",93.8%,"2,348",84.9%,"2,645",98.1%,163,100.0%,"16,081",93.1%,
,Resident Tuition,"10,636",91.3%,"1,564",56.5%,833,30.9%,152,93.3%,"13,185",76.3%,
,Non-Resident Tuition,375,3.2%,478,17.3%,262,9.7%,1,.6%,"1,116",6.5%,
,Tuition Exemption/Waiver,634,5.4%,725,26.2%,"1,600",59.4%,10,6.1%,"2,969",17.2%,
,Texas Resident,"11,004",94.5%,"1,636",59.1%,896,33.2%,155,95.1%,"13,691",79.3%,
,"Non-TX, US Resident",411,3.5%,336,12.1%,488,18.1%,8,4.9%,"1,243",7.2%,
,"Non-TX, Non-US Resident",230,2.0%,795,28.7%,"1,311",48.6%,,,"2,336",13.5%,
,< 6 SCH,"4,421",38.0%,"1,165",42.1%,695,25.8%,29,17.8%,"6,310",36.5%,
,6-8 SCH,"4,747",40.8%,"1,227",44.3%,"1,934",71.8%,132,81.0%,"8,040",46.6%,
,9-11 SCH,"1,530",13.1%,268,9.7%,53,2.0%,1,.6%,"1,852",10.7%,
,12-14 SCH,878,7.5%,104,3.8%,13,.5%,1,.6%,996,5.8%,
,15-17 SCH,60,.5%,2,.1%,,,,,62,.4%,
,>17 SCH,9,.1%,1,.0%,,,,,10,.1%,
,Less Than Half Time,"3,230",27.7%,373,13.5%,403,15.0%,,,"4,006",23.2%,
,Half-Time,"5,466",46.9%,785,28.4%,292,10.8%,33,20.2%,"6,576",38.1%,
,Full-Time,"2,949",25.3%,"1,609",58.1%,"2,000",74.2%,130,79.8%,"6,688",38.7%,
,No,"7,698",66.1%,"2,697",97.5%,"2,592",96.2%,160,98.2%,"13,147",76.1%,
,Yes,"3,947",33.9%,70,2.5%,103,3.8%,3,1.8%,"4,123",23.9%,
,No,"7,957",68.3%,"1,341",48.5%,"1,434",53.2%,7,4.3%,"10,739",62.2%,
,Unknown,552,4.7%,876,31.7%,426,15.8%,155,95.1%,"2,009",11.6%,
,Yes,"3,136",26.9%,550,19.9%,835,31.0%,1,.6%,"4,522",26.2%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
