Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,377,100.0%,68,100.0%,73,100.0%,163,100.0%,681,100.0%,
,,254,67.4%,46,67.6%,42,57.5%,129,79.1%,471,69.2%,
,,123,32.6%,22,32.4%,31,42.5%,34,20.9%,210,30.8%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),242,64.2%,40,58.8%,33,45.2%,133,81.6%,448,65.8%,
,American Indian Only (NEW),,,1,1.5%,,,,,1,.1%,
,Asian Only (NEW),45,11.9%,6,8.8%,3,4.1%,3,1.8%,57,8.4%,
,Black Only + 2 or more/1 Black (NEW),16,4.2%,4,5.9%,2,2.7%,2,1.2%,24,3.5%,
,Hispanic or Latino of any Race (NEW),64,17.0%,6,8.8%,3,4.1%,21,12.9%,94,13.8%,
,Native Hawaii Only (New),,,,,,,,,,,
,2 or More/Excluding Black (NEW),8,2.1%,2,2.9%,,,2,1.2%,12,1.8%,
,International,1,.3%,9,13.2%,32,43.8%,,,42,6.2%,
,Unknown or Not Reported,1,.3%,,,,,2,1.2%,3,.4%,
,<18,,,,,,,,,,,
,18-21,261,69.2%,1,1.5%,,,,,262,38.5%,
,22-25,112,29.7%,39,57.4%,6,8.2%,73,44.8%,230,33.8%,
,26-30,2,.5%,16,23.5%,31,42.5%,78,47.9%,127,18.6%,
,31-39,1,.3%,11,16.2%,31,42.5%,12,7.4%,55,8.1%,
,40+,1,.3%,1,1.5%,5,6.8%,,,7,1.0%,
,1st Time in College,2,.5%,,,,,,,2,.3%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,11,16.2%,3,4.1%,,,14,2.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,1,.3%,,,,,,,1,.1%,
,Continuing,374,99.2%,57,83.8%,70,95.9%,163,100.0%,664,97.5%,
,Resident Tuition,360,95.5%,46,67.6%,22,30.1%,152,93.3%,580,85.2%,
,Non-Resident Tuition,3,.8%,2,2.9%,1,1.4%,1,.6%,7,1.0%,
,Tuition Exemption/Waiver,14,3.7%,20,29.4%,50,68.5%,10,6.1%,94,13.8%,
,Texas Resident,370,98.1%,49,72.1%,25,34.2%,155,95.1%,599,88.0%,
,"Non-TX, US Resident",6,1.6%,10,14.7%,16,21.9%,8,4.9%,40,5.9%,
,"Non-TX, Non-US Resident",1,.3%,9,13.2%,32,43.8%,,,42,6.2%,
,< 6 SCH,171,45.4%,23,33.8%,10,13.7%,29,17.8%,233,34.2%,
,6-8 SCH,157,41.6%,38,55.9%,62,84.9%,132,81.0%,389,57.1%,
,9-11 SCH,40,10.6%,6,8.8%,,,1,.6%,47,6.9%,
,12-14 SCH,9,2.4%,1,1.5%,1,1.4%,1,.6%,12,1.8%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
,Less Than Half Time,61,16.2%,9,13.2%,6,8.2%,,,76,11.2%,
,Half-Time,228,60.5%,14,20.6%,4,5.5%,33,20.2%,279,41.0%,
,Full-Time,88,23.3%,45,66.2%,63,86.3%,130,79.8%,326,47.9%,
,No,134,35.5%,67,98.5%,69,94.5%,160,98.2%,430,63.1%,
,Yes,243,64.5%,1,1.5%,4,5.5%,3,1.8%,251,36.9%,
,No,288,76.4%,40,58.8%,47,64.4%,7,4.3%,382,56.1%,
,Unknown,3,.8%,9,13.2%,10,13.7%,155,95.1%,177,26.0%,
,Yes,86,22.8%,19,27.9%,16,21.9%,1,.6%,122,17.9%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
