Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"2,107",100.0%,104,100.0%,252,100.0%,,,"2,463",100.0%,
,,"1,244",59.0%,59,56.7%,123,48.8%,,,"1,426",57.9%,
,,863,41.0%,45,43.3%,129,51.2%,,,"1,037",42.1%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),"1,437",68.2%,35,33.7%,126,50.0%,,,"1,598",64.9%,
,American Indian Only (NEW),7,.3%,,,,,,,7,.3%,
,Asian Only (NEW),91,4.3%,3,2.9%,5,2.0%,,,99,4.0%,
,Black Only + 2 or more/1 Black (NEW),111,5.3%,6,5.8%,17,6.7%,,,134,5.4%,
,Hispanic or Latino of any Race (NEW),393,18.7%,6,5.8%,54,21.4%,,,453,18.4%,
,Native Hawaii Only (New),,,,,,,,,,,
,2 or More/Excluding Black (NEW),40,1.9%,2,1.9%,3,1.2%,,,45,1.8%,
,International,19,.9%,52,50.0%,44,17.5%,,,115,4.7%,
,Unknown or Not Reported,9,.4%,,,3,1.2%,,,12,.5%,
,<18,,,,,,,,,,,
,18-21,"1,140",54.1%,2,1.9%,,,,,"1,142",46.4%,
,22-25,887,42.1%,77,74.0%,30,11.9%,,,994,40.4%,
,26-30,49,2.3%,20,19.2%,122,48.4%,,,191,7.8%,
,31-39,22,1.0%,5,4.8%,75,29.8%,,,102,4.1%,
,40+,9,.4%,,,25,9.9%,,,34,1.4%,
,1st Time in College,9,.4%,,,,,,,9,.4%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,6,5.8%,2,.8%,,,8,.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,27,1.3%,,,,,,,27,1.1%,
,Readmitted,26,1.2%,,,,,,,26,1.1%,
,Continuing,"2,045",97.1%,98,94.2%,250,99.2%,,,"2,393",97.2%,
,Resident Tuition,"1,939",92.0%,22,21.2%,95,37.7%,,,"2,056",83.5%,
,Non-Resident Tuition,43,2.0%,49,47.1%,24,9.5%,,,116,4.7%,
,Tuition Exemption/Waiver,125,5.9%,33,31.7%,133,52.8%,,,291,11.8%,
,Texas Resident,"2,026",96.2%,24,23.1%,106,42.1%,,,"2,156",87.5%,
,"Non-TX, US Resident",64,3.0%,27,26.0%,101,40.1%,,,192,7.8%,
,"Non-TX, Non-US Resident",17,.8%,53,51.0%,45,17.9%,,,115,4.7%,
,< 6 SCH,634,30.1%,40,38.5%,120,47.6%,,,794,32.2%,
,6-8 SCH,866,41.1%,61,58.7%,130,51.6%,,,"1,057",42.9%,
,9-11 SCH,331,15.7%,2,1.9%,1,.4%,,,334,13.6%,
,12-14 SCH,266,12.6%,1,1.0%,1,.4%,,,268,10.9%,
,15-17 SCH,8,.4%,,,,,,,8,.3%,
,>17 SCH,2,.1%,,,,,,,2,.1%,
,Less Than Half Time,511,24.3%,4,3.8%,35,13.9%,,,550,22.3%,
,Half-Time,884,42.0%,36,34.6%,86,34.1%,,,"1,006",40.8%,
,Full-Time,712,33.8%,64,61.5%,131,52.0%,,,907,36.8%,
,No,"1,526",72.4%,100,96.2%,245,97.2%,,,"1,871",76.0%,
,Yes,581,27.6%,4,3.8%,7,2.8%,,,592,24.0%,
,No,"1,429",67.8%,39,37.5%,155,61.5%,,,"1,623",65.9%,
,Unknown,61,2.9%,47,45.2%,27,10.7%,,,135,5.5%,
,Yes,617,29.3%,18,17.3%,70,27.8%,,,705,28.6%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
