Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Business Admin,"MLER USBU
Subtotal",,,,,,,,4,4,,,,,4
,,,,3,3,,6,,,,,,,,6
,,1,18,67,77,,163,,24,24,1,1,,,188
"Education
Engineering",ATTR,,,,,,,,1,1,,,,,1
,BIED,,,,,,,,7,7,,,,,7
,CPSY,,,,,,,,2,2,8,8,,,10
,EDAD,,,,,,,,9,9,29,29,,,38
,EDCI,,,,,,,1,16,17,5,5,,,22
,EDHL,1,2,16,11,,30,,,,,,,,30
,EDIS,,4,12,5,,21,,,,,,,,21
,EDKI,2,2,4,12,,20,,,,,,,,20
,EDSM,1,3,7,2,,13,,,,,,,,13
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,13,13,9,9,,,22
,EPSY,,,,,,,,2,2,7,7,,,9
,HEED,,,,,,,,8,8,2,2,,,10
,HLTH,,,,13,,13,,,,,,,,13
,HRDL,,,2,4,,6,,,,,,,,6
,HRDV,,,2,17,,19,,,,,,,,19
,INST,,1,7,35,,43,,,,,,,,43
,KINE,,,1,25,,26,,4,4,5,5,,,35
,SPED,,,,,,,,1,1,,,,,1
,SPMT,,,2,16,,18,,3,3,,,,,21
,SPSY,,,,,,,,,,9,9,,,9
,TCMG,,,2,11,,13,,,,,,,,13
,TCML,,,3,4,,7,,,,,,,,7
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,4,12,58,155,,229,1,66,67,74,74,,,370
,AERL,,8,1,,,9,,,,,,,,9
,AERO,,,2,7,,9,,3,3,4,4,,,16
,BIOT,,,,,,,,2,2,,,,,2
,BMEL,,3,1,,,4,,,,,,,,4
,BMEN,,,3,6,,9,,3,3,4,4,,,16
,CECL,4,1,2,1,,8,,,,,,,,8
,CECN,,,1,7,,8,,1,1,,,,,9
