Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,2,,2,,,,,,1,2,3,,1,1,,,,,,,,,,3,3,6,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,2,,2,,,,,,1,2,3,,1,1,,,,,,,,,,3,3,6,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,2,,2,,,,,,1,2,3,,1,1,,,,,,,,,,3,3,6,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,,,,,,,,,1,1,2,,1,1,,,,,,,,,,1,2,3,
,Non-Resident Tuition,2,,2,,,,,,,1,1,,,,,,,,,,,,,2,1,3,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,,,,,,,,,1,1,2,,1,1,,,,,,,,,,1,2,3,
,"Non-TX, US Resident",2,,2,,,,,,,1,1,,,,,,,,,,,,,2,1,3,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,2,,2,,,,,,1,2,3,,1,1,,,,,,,,,,3,3,6,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,2,,2,,,,,,1,2,3,,1,1,,,,,,,,,,3,3,6,
,No,2,,2,,,,,,1,2,3,,1,1,,,,,,,,,,3,3,6,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,1,,1,,,,,,,1,1,,1,1,,,,,,,,,,1,2,3,
,Unknown,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,Yes,,,,,,,,,1,1,2,,,,,,,,,,,,,1,1,2,
,Off-campus,2,,2,,,,,,1,2,3,,1,1,,,,,,,,,,3,3,6,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
