Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,,4,4,,,,,,2,3,5,,,,,,,,,,,,,2,7,9,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,,4,4,,,,,,2,3,5,,,,,,,,,,,,,2,7,9,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,4,4,,,,,,2,3,5,,,,,,,,,,,,,2,7,9,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,,3,3,,,,,,2,3,5,,,,,,,,,,,,,2,6,8,
,Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,,3,3,,,,,,2,3,5,,,,,,,,,,,,,2,6,8,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,4,4,,,,,,2,3,5,,,,,,,,,,,,,2,7,9,
,Less Than Half Time,,,,,,,,,1,,1,,,,,,,,,,,,,1,,1,
,Half-Time,,4,4,,,,,,1,3,4,,,,,,,,,,,,,1,7,8,
,No,,4,4,,,,,,2,3,5,,,,,,,,,,,,,2,7,9,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,,2,2,,,,,,1,2,3,,,,,,,,,,,,,1,4,5,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,2,2,,,,,,1,1,2,,,,,,,,,,,,,1,3,4,
,Off-campus,,4,4,,,,,,2,3,5,,,,,,,,,,,,,2,7,9,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
