Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,3,2,5,,,,,,3,4,7,,,,1,1,,,,,,,,6,7,13,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,3,2,5,,,,,,3,4,7,,,,1,1,,,,,,,,6,7,13,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,3,2,5,,,,,,3,4,7,,,,1,1,,,,,,,,6,7,13,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,2,2,4,,,,,,3,4,7,,,,1,1,,,,,,,,5,7,12,
,Non-Resident Tuition,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,2,2,4,,,,,,3,4,7,,,,1,1,,,,,,,,5,7,12,
,"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,3,2,5,,,,,,3,4,7,,,,1,1,,,,,,,,6,7,13,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,3,2,5,,,,,,3,4,7,,,,1,1,,,,,,,,6,7,13,
,No,3,2,5,,,,,,3,4,7,,,,1,1,,,,,,,,6,7,13,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,2,2,4,,,,,,1,1,2,,,,,,,,,,,,,3,3,6,
,Unknown,,,,,,,,,1,,1,,,,,,,,,,,,,1,,1,
,Yes,1,,1,,,,,,1,3,4,,,,1,1,,,,,,,,2,4,6,
,Off-campus,3,2,5,,,,,,3,4,7,,,,1,1,,,,,,,,6,7,13,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
