Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,9,100.0%,11,100.0%,,,,,20,100.0%,
,,5,55.6%,7,63.6%,,,,,12,60.0%,
,,4,44.4%,4,36.4%,,,,,8,40.0%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),2,22.2%,5,45.5%,,,,,7,35.0%,
,American Indian Only (NEW),,,,,,,,,,,
,Asian Only (NEW),,,,,,,,,,,
,Black Only + 2 or more/1 Black (NEW),,,1,9.1%,,,,,1,5.0%,
,Hispanic or Latino of any Race (NEW),1,11.1%,1,9.1%,,,,,2,10.0%,
,Native Hawaii Only (New),,,,,,,,,,,
,2 or More/Excluding Black (NEW),,,,,,,,,,,
,International,6,66.7%,2,18.2%,,,,,8,40.0%,
,Unknown or Not Reported,,,2,18.2%,,,,,2,10.0%,
,<18,,,,,,,,,,,
,18-21,4,44.4%,,,,,,,4,20.0%,
,22-25,4,44.4%,3,27.3%,,,,,7,35.0%,
,26-30,1,11.1%,4,36.4%,,,,,5,25.0%,
,31-39,,,3,27.3%,,,,,3,15.0%,
,40+,,,1,9.1%,,,,,1,5.0%,
,1st Time in College,,,,,,,,,,,
,1st Time PB,,,4,36.4%,,,,,4,20.0%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,9,100.0%,7,63.6%,,,,,16,80.0%,
,Resident Tuition,3,33.3%,5,45.5%,,,,,8,40.0%,
,Non-Resident Tuition,6,66.7%,3,27.3%,,,,,9,45.0%,
,Tuition Exemption/Waiver,,,3,27.3%,,,,,3,15.0%,
,Texas Resident,3,33.3%,6,54.5%,,,,,9,45.0%,
,"Non-TX, US Resident",,,2,18.2%,,,,,2,10.0%,
,"Non-TX, Non-US Resident",6,66.7%,3,27.3%,,,,,9,45.0%,
,< 6 SCH,2,22.2%,9,81.8%,,,,,11,55.0%,
,6-8 SCH,7,77.8%,2,18.2%,,,,,9,45.0%,
,9-11 SCH,,,,,,,,,,,
,12-14 SCH,,,,,,,,,,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
,Less Than Half Time,1,11.1%,,,,,,,1,5.0%,
,Half-Time,2,22.2%,9,81.8%,,,,,11,55.0%,
,Full-Time,6,66.7%,2,18.2%,,,,,8,40.0%,
,No,9,100.0%,11,100.0%,,,,,20,100.0%,
,Yes,,,,,,,,,,,
,No,3,33.3%,1,9.1%,,,,,4,20.0%,
,Unknown,6,66.7%,10,90.9%,,,,,16,80.0%,
,Yes,,,,,,,,,,,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
