Demographic Summary Galveston Campus,,,,,,,,,,,,
(Not included in University Total Enrollment),,,,,,,,,,,,
Summer 2012,,Student Level,,,,,,,,,Grand Total,
,,G6,G7,G8,U0,U1,U2,U3,U4,U5,,
Head Count Total,,1,28,21,1,122,118,160,295,9,755,
"Gender Ethnicity
Academic Major
Enrollment Status
SCH Categories
TAMU Age Categories
ft/pt: TAMU Status
Top 10% Texas High School
First Generation",Female,,13,14,1,44,26,54,101,2,255,
,Male,1,15,7,,78,92,106,194,7,500,
,White Only (NEW),1,23,13,,97,96,129,227,7,593,
,American Indian Only (NEW),,,,,1,1,1,1,,4,
,Asian Only (NEW),,,,,1,1,4,2,,8,
,Black Only + 2 or more/1 Black (NEW),,,,,3,4,1,9,1,18,
,Hispanic or Latino of any Race (NEW),,1,1,1,18,10,18,41,1,91,
,Native Hawaii Only (New),,1,,,,,,1,,2,
,2 or More/Excluding Black (NEW),,,1,,1,4,7,8,,21,
,International,,3,6,,,2,,2,,13,
,Unknown or Not Reported,,,,,1,,,4,,5,
,ALED,,,,,,1,,,,1,
,ANSC,,,,,,,,1,,1,
,ANTH,,,1,,,,,,,1,
,BIOL,,,,,,1,,,,1,
,BUAD,,,,,,4,2,,,6,
,BUAG,,,,,,1,,,,1,
,ECON,,,,,,,,1,,1,
,ENGS,,,,,,,,1,,1,
,FINC,,,,,,,1,,,1,
,GACD,,,,1,33,11,2,,,47,
,GEST,,,,,,4,1,,,5,
,INFO,,,,,,,,1,,1,
,MAAL,,7,,,,,,,,7,
,MARA,,,,,10,17,39,72,,138,
,MARB,1,11,10,,28,12,29,53,2,146,
,MARF,,,,,,,,1,,1,
,MARM,,8,,,,,,,,8,
,MARR,,,,,12,14,23,35,1,85,
,MARS,,,,,,2,6,7,,15,
,MART,,,,,20,39,33,78,6,176,
,MASE,,,,,2,4,8,20,,34,
,MASL,,,,,10,2,4,1,,17,
,MAST,,,,,1,2,9,9,,21,
,MEEN,,,,,,,1,,,1,
,MGMT,,,,,,,1,1,,2,
,OCNG,,1,2,,,,,,,3,
,OCRE,,,,,5,3,1,10,,19,
,PHYS,,,1,,,,,,,1,
,RLEM,,,2,,,,,,,2,
,TEAM,,,,,,1,,,,1,
,USBU,,,,,,,,1,,1,
,USGA,,,,,,,,3,,3,
,WFSC,,1,5,,1,,,,,7,
,Continuing,,24,21,1,36,114,159,289,8,652,
,1st Time In College,,,,,84,,,,,84,
,1st Time Graduate,1,4,,,,,,,,5,
,Readmitted,,,,,,1,1,5,1,8,
,1st Time Transfer,,,,,2,3,,1,,6,
,< 6 SCH,1,13,5,,47,62,74,165,7,374,
,6-8 SCH,,11,16,1,70,42,53,70,2,265,
,9-11 SCH,,,,,5,9,17,33,,64,
,12-14 SCH,,4,,,,4,13,18,,39,
,15-17 SCH,,,,,,1,,6,,7,
,>17 SCH,,,,,,,3,3,,6,
,<18,,,,,1,,,,,1,
,18-21,,,,1,118,101,93,48,,361,
,22-25,,9,1,,3,13,42,169,4,241,
,26-30,,6,8,,,3,15,46,4,82,
,31-39,,9,8,,,,7,20,,44,
,40+,1,4,4,,,1,3,12,1,26,
,Full-Time,,15,16,,6,16,35,61,,149,
,Half-Time,1,7,3,1,110,75,96,168,8,469,
,Less Than Half-Time,,6,2,,6,27,29,66,1,137,
,No,1,28,20,1,119,104,144,279,8,704,
,Yes,,,1,,3,14,16,16,1,51,
,No,,20,10,,91,81,106,173,7,488,
,Unknown,,3,8,1,6,6,7,21,,52,
,Yes,1,5,3,,25,31,47,101,2,215,
"Prepared by OISP, 22 Aug 12",,,,,,,,,,,,
