Native Hawaii Only (New),,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,,,,,,
,ANSC,,,,,,,,,,1,1,,,1,
,BAEN,,,,,,,,,,,,,,,
,BCBP,,,,,,,,,,,,,,,
,CLAG,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,,,,,,
,ESSM,,,,,,,,,,,,,,,
,HRSC,,,,,,,,,,,,,,,
,NFSC,,,1,,,1,,,,,,,,1,
,PLPM,,,,,,,,,,,,,,,
,POSC,,,,,,,,,,,,,,,
,RPTS,,,1,,,1,,,,,,,,1,
,SCSC,,,,,,,,,,,,,,,
,WFSC,,,,,,,,,,,,,,,
,Subtotal,,,2,,,2,,,,1,1,,,3,
Architecture,ARCH,,,,,,,,,,,,,,,
,CLAR,,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,,
,LAUP,,,1,,,1,,,,,,,,1,
,VIZA,,,,,,,,,,,,,,,
,Subtotal,,,1,,,1,,,,,,,,1,
Business Admin,ACCT,,,,,,,,,,,,,,,
,CLBA,1,,,,,1,,,,,,,,1,
,FINC,,,,,,,,,,,,,,,
,INFO,,,,,,,,,,,,,,,
,MGMT,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,Subtotal,1,,,,,1,,,,,,,,1,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,1,,,,,1,,,,,,,,1,
,EPSY,,,,,,,,,,,,,,,
,HLKN,,,,1,,1,,,,,,,,1,
,TLAC,,,,,,,,,,,,,,,
,Subtotal,1,,,1,,2,,,,,,,,2,
