Summer 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,12,9,21,1,,1,1,2,3,,1,1,,,,,,,1,1,14,13,27,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,12,4,16,,,,,2,2,,1,1,,,,,,,1,1,12,8,20,
,22-25,,1,1,1,,1,1,,1,,,,,,,,,,,,2,1,3,
,26-30,,3,3,,,,,,,,,,,,,,,,,,,3,3,
,31-39,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,40+,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,1,,1,,,,,2,2,,,,,,,,,,,,1,2,3,
,Sophomore,9,4,13,,,,1,,1,,1,1,,,,,,,1,1,10,6,16,
,Junior,2,5,7,,,,,,,,,,,,,,,,,,2,5,7,
,Senior,,,,1,,1,,,,,,,,,,,,,,,1,,1,
,PB,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,12,5,17,1,,1,,2,2,,1,1,,,,,,,,,13,8,21,
,Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,1,1,,2,2,
,Tuition,,3,3,,,,1,,1,,,,,,,,,,,,1,3,4,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,12,8,20,1,,1,1,2,3,,1,1,,,,,,,,,14,11,25,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,1,1,,2,2,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,5,2,7,,,,,,,,,,,,,,,,,,5,2,7,
,6-8 SCH,7,4,11,1,,1,,2,2,,1,1,,,,,,,1,1,8,8,16,
,9-11 SCH,,1,1,,,,1,,1,,,,,,,,,,,,1,1,2,
,12-14 SCH,,2,2,,,,,,,,,,,,,,,,,,,2,2,
,Less Than Half Time,1,3,4,,,,,,,,,,,,,,,,,,1,3,4,
,Half-Time,11,3,14,1,,1,,2,2,,1,1,,,,,,,1,1,12,7,19,
,Full-Time,,3,3,,,,1,,1,,,,,,,,,,,,1,3,4,
,No,12,9,21,1,,1,1,1,2,,1,1,,,,,,,1,1,14,12,26,
,Yes,,,,,,,,1,1,,,,,,,,,,,,,1,1,
,No,8,7,15,1,,1,1,1,2,,1,1,,,,,,,,,10,9,19,
,Unknown,1,,1,,,,,,,,,,,,,,,,1,1,1,1,2,
,Yes,3,2,5,,,,,1,1,,,,,,,,,,,,3,3,6,
,Off-campus,12,8,20,1,,1,1,2,3,,1,1,,,,,,,1,1,14,12,26,
,Dorm (On-campus),,1,1,,,,,,,,,,,,,,,,,,,1,1,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,
