Demographic Summary for Students Enrolled in Out of State Distance Education Programs (Not included in University Total Enrollment),,,,,,,
"Prepared by OISP, 17 Aug 12",,,,,,,
Summer 2012,,Student Level,,,,Grand Total,
,,G6: PB Non-Degree,G7: Masters,G8: Doctoral,G9: GR Conditional,,
Head Count Total,,79,184,8,17,288,
"Gender Ethnicity
Academic Major
Enrollment Status
SCH Categories
TAMU Age Categories
ft/pt: TAMU Status",Female,30,69,5,5,109,
,Male,49,115,3,12,179,
,White Only (NEW),39,94,7,12,152,
,Asian Only (NEW),4,14,,,18,
,Black Only + 2 or more/1 Black (NEW),2,6,1,,9,
,Hispanic or Latino of any Race (NEW),4,5,,,9,
,2 or More/Excluding Black (NEW),1,3,,,4,
,International,26,59,,5,90,
,Unknown or Not Reported,3,3,,,6,
,AGRO,1,,,,1,
,ALEC,,,1,,1,
,CAIA,16,,,,16,
,CHLS,2,,,,2,
,CNPM,4,,,,4,
,EDCI,,3,6,,9,
,EHRD,1,31,,3,35,
,ENSM,,1,,,1,
,FISC,,1,,,1,
,INEN,,1,,,1,
,MATH,1,25,,,26,
,MEEN,,1,,,1,
,MGMT,21,20,,,41,
,NRDV,,4,,,4,
,PETE,,17,1,,18,
,POSC,,1,,,1,
,STAT,33,73,,14,120,
,WISC,,6,,,6,
,1st Time PB,26,,,,26,
,1st Time Graduate,,20,,10,30,
,Continuing,53,164,8,7,232,
,< 6 SCH,51,128,4,14,197,
,6-8 SCH,15,36,4,3,58,
,9-11 SCH,13,20,,,33,
,22-25,11,16,,1,28,
,26-30,14,49,1,2,66,
,31-39,27,76,4,7,114,
,40+,27,43,3,7,80,
,Full-Time,29,58,4,2,93,
,Half-Time,50,118,4,15,187,
,Less Than Half-Time,,8,,,8,
