Summer 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total,
"General Studies                   GEST TEAM
Subtotal",,468,5,25,46,148,1,12,11,1,717,
,,96,,8,3,21,1,3,,,132,
,,564,5,33,49,169,2,15,11,1,849,
Other - Special Populations,GACD,2,,,,,,,,,2,
,"MDSC MEEN OCRE PHLT REEP
Subtotal",,,,,1,,,1,2,4,
,,,,,,,,,1,,1,
,,,,,,1,,,,,1,
,,5,,,1,,,,1,,7,
,,,,,,,,,5,,5,
,,7,,,1,2,,,8,2,20,
Total,,10553,54,722,721,2424,14,282,2330,170,17270,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,
