Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Business Admin,"MLER USBU
Subtotal",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1,,,,,1,,,,,,,,1
"Education
Engineering",ATTR,,,,,,,,,,,,,,
,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,,,,,
,EDAD,,,,,,,,,,,,,,
,EDCI,,,,,,,,,,,,,,
,EDHL,,,,,,,,,,,,,,
,EDIS,,,,,,,,,,,,,,
,EDKI,,,,1,,1,,,,,,,,1
,EDSM,,,,,,,,,,,,,,
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,,,,,,,
,EPSY,,,,,,,,,,,,,,
,HEED,,,,,,,,,,,,,,
,HLTH,,,,,,,,,,,,,,
,HRDL,1,,,,,1,,,,,,,,1
,HRDV,,,,,,,,,,,,,,
,INST,,,,,,,,,,,,,,
,KINE,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,
,SPMT,,,,,,,,,,,,,,
,SPSY,,,,,,,,,,,,,,
,TCMG,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,1,,,1,,2,,,,,,,,2
,AERL,,,,,,,,,,,,,,
,AERO,,,,,,,,,,,,,,
,BIOT,,,,,,,,,,,,,,
,BMEL,,,,,,,,,,,,,,
,BMEN,,,,,,,,,,,,,,
,CECL,,,,,,,,,,,,,,
,CECN,,,,,,,,,,,,,,
