Summer 2012,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Science,APHY,,,,,,,,1,1,,8,,10,
,APMS,,,,33,,,,,,,,,33,
,BIOL,2,3,,228,,,,10,,,34,,277,
,BMCB,,,,23,,,,,,,,,23,
,CHEM,,,1,78,,,,45,1,,192,,317,
,MATH,1,1,,61,1,7,,41,,,84,,196,
,MBIO,,,,14,,,,2,,,7,,23,
,MSEN,,,,,,,,1,,,1,,2,
,PHYS,2,,,38,,,,41,1,,97,,179,
,STAT,,,,,16,13,,50,,,33,,112,
,USSC,,,,12,,,,,,,,,12,
,ZOOL,,,,21,,,,,,,6,,27,
,Subtotal,5,4,1,508,17,20,,191,3,,462,,"1,211",
"Veterinary Medicine
General Studies
Other - Special Populations
University",BIMS,2,,1,374,,10,,41,2,,33,,463,
,BIOT,,,,,,,,1,,,,,1,
,GENE,,,,,,,,1,,,6,,7,
,LAMD,,,,,,,,2,,,,,2,
,STJR,,,,,,1,,3,,,,,4,
,TOXI,,,,,,,,4,1,,11,,16,
,VPAT,,,,,,,,3,,,10,,13,
,VPHY,,,,,,,,,,,1,,1,
,VTMD,,,,,,,,,,,,163,163,
,VTMI,,,,,,,,2,,,9,,11,
,Subtotal,2,,1,374,,11,,57,3,,70,163,681,
,GEST,390,,,327,,,,,,,,,717,
,TEAM,,,,132,,,,,,,,,132,
,Subtotal,390,,,459,,,,,,,,,849,
,GACD,,,,2,,,,,,,,,2,
,MDSC,,,,,1,,,3,,,,,4,
,MEEN,,,,1,,,,,,,,,1,
,OCRE,,,,1,,,,,,,,,1,
,PHLT,,,,,3,,,4,,,,,7,
,REEP,,,,5,,,,,,,,,5,
,Subtotal,,,,9,4,,,7,,,,,20,
,Total,486,147,87,"10,925",71,344,4,"2,348",47,3,"2,645",163,"17,270",
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,
