Demographic Summary by Classification,,,,,
First-Time In College Students (College Station Campus) Top 10% Texas High School Students,,,,,
"Prepared by DARS, 22 Aug 12",,,,,
Summer 2012,,Freshman,Sophomore,Grand Total,
Headcount Total,,45,6,51,
"Gender Ethnicity
TAMU Age Categories College
Enrollment Status Tuition Status
Residency Status SCH Categories
Ft/Pt: TAMU Status First Generation",Female,16,4,20,
,Male,29,2,31,
,White Only (NEW),19,1,20,
,Asian Only (NEW),3,,3,
,Black Only + 2 or more/1 Black (NEW),4,,4,
,Hispanic or Latino of any Race (NEW),18,5,23,
,2 or More/Excluding Black (NEW),1,,1,
,<18,1,,1,
,18-21,44,6,50,
,Architecture,1,,1,
,Business Admin,3,,3,
,Engineering,26,4,30,
,Geosciences,9,2,11,
,Science,1,,1,
,Veterinary Medicine,1,,1,
,General Studies,4,,4,
,1st Time in College,45,6,51,
,Resident Tuition,44,6,50,
,Tuition Exemption/Waiver,1,,1,
,Texas Resident,45,6,51,
,< 6 SCH,11,2,13,
,6-8 SCH,34,4,38,
,Less Than Half Time,1,,1,
,Half-Time,44,6,50,
,No,26,1,27,
,Yes,19,5,24,
