Summer 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,15,7,22,,1,1,,,,4,2,6,,2,2,,,,,,19,12,31,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,8,1,9,,,,,,,2,2,4,,1,1,,,,,,10,4,14,
,22-25,6,3,9,,1,1,,,,2,,2,,1,1,,,,,,8,5,13,
,26-30,,2,2,,,,,,,,,,,,,,,,,,,2,2,
,31-39,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,40+,1,,1,,,,,,,,,,,,,,,,,,1,,1,
,Freshman,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Sophomore,6,1,7,,,,,,,2,,2,,1,1,,,,,,8,2,10,
,Junior,7,3,10,,1,1,,,,2,2,4,,1,1,,,,,,9,7,16,
,Senior,2,1,3,,,,,,,,,,,,,,,,,,2,1,3,
,PB,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Resident Tuition,14,6,20,,1,1,,,,4,2,6,,2,2,,,,,,18,11,29,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,1,1,2,,,,,,,,,,,,,,,,,,1,1,2,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,15,6,21,,1,1,,,,4,2,6,,2,2,,,,,,19,11,30,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,7,2,9,,,,,,,3,1,4,,,,,,,,,10,3,13,
,6-8 SCH,3,3,6,,1,1,,,,1,1,2,,2,2,,,,,,4,7,11,
,9-11 SCH,3,1,4,,,,,,,,,,,,,,,,,,3,1,4,
,12-14 SCH,2,1,3,,,,,,,,,,,,,,,,,,2,1,3,
,Less Than Half Time,4,1,5,,,,,,,3,1,4,,,,,,,,,7,2,9,
,Half-Time,5,4,9,,1,1,,,,,1,1,,2,2,,,,,,5,8,13,
,Full-Time,6,2,8,,,,,,,1,,1,,,,,,,,,7,2,9,
,No,15,6,21,,1,1,,,,4,2,6,,2,2,,,,,,19,11,30,
,Yes,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,No,9,4,13,,1,1,,,,2,1,3,,1,1,,,,,,11,7,18,
,Unknown,1,1,2,,,,,,,,,,,,,,,,,,1,1,2,
,Yes,5,2,7,,,,,,,2,1,3,,1,1,,,,,,7,4,11,
,Off-campus,15,7,22,,1,1,,,,4,2,6,,2,2,,,,,,19,12,31,
,Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,
