Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,3,3,6,,,,,,,2,2,,,,1,1,,,,,,,,3,6,9,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,3,3,6,,,,,,,2,2,,,,1,1,,,,,,,,3,6,9,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,3,3,6,,,,,,,2,2,,,,1,1,,,,,,,,3,6,9,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,2,3,5,,,,,,,2,2,,,,1,1,,,,,,,,2,6,8,
,Non-Resident Tuition,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,2,3,5,,,,,,,2,2,,,,1,1,,,,,,,,2,6,8,
,"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,3,3,6,,,,,,,2,2,,,,1,1,,,,,,,,3,6,9,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,3,3,6,,,,,,,2,2,,,,1,1,,,,,,,,3,6,9,
,No,1,2,3,,,,,,,2,2,,,,1,1,,,,,,,,1,5,6,
,Yes,2,1,3,,,,,,,,,,,,,,,,,,,,,2,1,3,
,No,2,3,5,,,,,,,,,,,,,,,,,,,,,2,3,5,
,Unknown,,,,,,,,,,2,2,,,,,,,,,,,,,,2,2,
,Yes,1,,1,,,,,,,,,,,,1,1,,,,,,,,1,1,2,
,Off-campus,3,3,6,,,,,,,2,2,,,,1,1,,,,,,,,3,6,9,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
