Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"1,449",100.0%,415,100.0%,423,100.0%,,,"2,287",100.0%,
,,996,68.7%,305,73.5%,278,65.7%,,,"1,579",69.0%,
,,453,31.3%,110,26.5%,145,34.3%,,,708,31.0%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),"1,084",74.8%,267,64.3%,199,47.0%,,,"1,550",67.8%,
,American Indian Only (NEW),2,.1%,1,.2%,1,.2%,,,4,.2%,
,Asian Only (NEW),31,2.1%,13,3.1%,16,3.8%,,,60,2.6%,
,Black Only + 2 or more/1 Black (NEW),67,4.6%,31,7.5%,74,17.5%,,,172,7.5%,
,Hispanic or Latino of any Race (NEW),229,15.8%,67,16.1%,74,17.5%,,,370,16.2%,
,Native Hawaii Only (New),2,.1%,,,,,,,2,.1%,
,2 or More/Excluding Black (NEW),28,1.9%,9,2.2%,4,.9%,,,41,1.8%,
,International,6,.4%,23,5.5%,51,12.1%,,,80,3.5%,
,Unknown or Not Reported,,,4,1.0%,4,.9%,,,8,.3%,
,<18,,,,,,,,,,,
,18-21,729,50.3%,5,1.2%,,,,,734,32.1%,
,22-25,683,47.1%,216,52.0%,17,4.0%,,,916,40.1%,
,26-30,19,1.3%,91,21.9%,115,27.2%,,,225,9.8%,
,31-39,11,.8%,61,14.7%,134,31.7%,,,206,9.0%,
,40+,7,.5%,42,10.1%,157,37.1%,,,206,9.0%,
,1st Time in College,13,.9%,,,,,,,13,.6%,
,1st Time PB,,,10,2.4%,,,,,10,.4%,
,1st Time Graduate,,,52,12.5%,16,3.8%,,,68,3.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,31,2.1%,,,,,,,31,1.4%,
,Readmitted,11,.8%,,,3,.7%,,,14,.6%,
,Continuing,"1,394",96.2%,353,85.1%,404,95.5%,,,"2,151",94.1%,
,Resident Tuition,"1,355",93.5%,351,84.6%,315,74.5%,,,"2,021",88.4%,
,Non-Resident Tuition,23,1.6%,29,7.0%,30,7.1%,,,82,3.6%,
,Tuition Exemption/Waiver,71,4.9%,35,8.4%,78,18.4%,,,184,8.0%,
,Texas Resident,"1,418",97.9%,364,87.7%,328,77.5%,,,"2,110",92.3%,
,"Non-TX, US Resident",25,1.7%,28,6.7%,44,10.4%,,,97,4.2%,
,"Non-TX, Non-US Resident",6,.4%,23,5.5%,51,12.1%,,,80,3.5%,
,< 6 SCH,615,42.4%,121,29.2%,192,45.4%,,,928,40.6%,
,6-8 SCH,457,31.5%,145,34.9%,197,46.6%,,,799,34.9%,
,9-11 SCH,206,14.2%,124,29.9%,30,7.1%,,,360,15.7%,
,12-14 SCH,148,10.2%,23,5.5%,4,.9%,,,175,7.7%,
,15-17 SCH,21,1.4%,2,.5%,,,,,23,1.0%,
,>17 SCH,2,.1%,,,,,,,2,.1%,
,Less Than Half Time,454,31.3%,11,2.7%,105,24.8%,,,570,24.9%,
,Half-Time,610,42.1%,109,26.3%,84,19.9%,,,803,35.1%,
,Full-Time,385,26.6%,295,71.1%,234,55.3%,,,914,40.0%,
,No,964,66.5%,404,97.3%,395,93.4%,,,"1,763",77.1%,
,Yes,485,33.5%,11,2.7%,28,6.6%,,,524,22.9%,
,No,978,67.5%,250,60.2%,195,46.1%,,,"1,423",62.2%,
,Unknown,32,2.2%,20,4.8%,73,17.3%,,,125,5.5%,
,Yes,439,30.3%,145,34.9%,155,36.6%,,,739,32.3%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
