Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Business Admin,"MLER USBU
Subtotal",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1,,1,,,2,,3,3,5,5,,,10
"Education
Engineering",ATTR,,,,,,,,1,1,,,,,1
,BIED,,,,,,,,1,1,,,,,1
,CPSY,,,,,,,,,,,,,,
,EDAD,,,,,,,,,,1,1,,,1
,EDCI,,,,,,,,2,2,2,2,,,4
,EDHL,,,,,,,,,,,,,,
,EDIS,,,,,,,,,,,,,,
,EDKI,,,,,,,,,,,,,,
,EDSM,,,,,,,,,,,,,,
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,,,,,,,
,EPSY,,,,,,,,,,1,1,,,1
,HEED,,,,,,,,,,,,,,
,HLTH,,,,,,,,,,,,,,
,HRDL,,,,,,,,,,,,,,
,HRDV,,,,,,,,,,,,,,
,INST,,,,,,,,,,,,,,
,KINE,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,
,SPMT,,,,,,,,,,,,,,
,SPSY,,,,,,,,,,,,,,
,TCMG,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,,,,,,,,4,4,4,4,,,8
,AERL,1,,,,,1,,,,,,,,1
,AERO,1,2,,2,,5,,,,1,1,,,6
,BIOT,,,,,,,,,,,,,,
,BMEL,1,1,1,,,3,,,,,,,,3
,BMEN,,,3,1,,4,,,,,,,,4
,CECL,,,,,,,,,,,,,,
,CECN,,,,,,,,,,,,,,
