Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,,2,2,,,,,,,3,3,,,,,,,,,,,,,,5,5,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,,2,2,,,,,,,3,3,,,,,,,,,,,,,,5,5,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,2,2,,,,,,,3,3,,,,,,,,,,,,,,5,5,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,,2,2,,,,,,,2,2,,,,,,,,,,,,,,4,4,
,Non-Resident Tuition,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,,2,2,,,,,,,2,2,,,,,,,,,,,,,,4,4,
,"Non-TX, US Resident",,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,6-8 SCH,,2,2,,,,,,,2,2,,,,,,,,,,,,,,4,4,
,Less Than Half Time,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,Half-Time,,2,2,,,,,,,2,2,,,,,,,,,,,,,,4,4,
,No,,2,2,,,,,,,2,2,,,,,,,,,,,,,,4,4,
,Yes,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,No,,2,2,,,,,,,2,2,,,,,,,,,,,,,,4,4,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,Off-campus,,2,2,,,,,,,3,3,,,,,,,,,,,,,,5,5,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
