Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,5,4,9,,,1,,1,,,,2,3,5,,,,1,1,,,,,8,8,16,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,5,4,9,,,1,,1,,,,2,3,5,,,,1,1,,,,,8,8,16,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,4,4,8,,,1,,1,,,,1,3,4,,,,1,1,,,,,6,8,14,
,Sophomore,1,,1,,,,,,,,,1,,1,,,,,,,,,,2,,2,
,Resident Tuition,5,4,9,,,1,,1,,,,2,3,5,,,,1,1,,,,,8,8,16,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,5,4,9,,,1,,1,,,,2,3,5,,,,1,1,,,,,8,8,16,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,5,4,9,,,1,,1,,,,2,3,5,,,,1,1,,,,,8,8,16,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,5,4,9,,,1,,1,,,,2,3,5,,,,1,1,,,,,8,8,16,
,No,2,2,4,,,,,,,,,,,,,,,1,1,,,,,2,3,5,
,Yes,3,2,5,,,1,,1,,,,2,3,5,,,,,,,,,,6,5,11,
,No,3,4,7,,,,,,,,,1,2,3,,,,1,1,,,,,4,7,11,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,2,,2,,,1,,1,,,,1,1,2,,,,,,,,,,4,1,5,
,Off-campus,5,4,9,,,1,,1,,,,2,3,5,,,,1,1,,,,,8,8,16,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
