Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"2,138",100.0%,373,100.0%,421,100.0%,,,"2,932",100.0%,
,,"1,119",52.3%,199,53.4%,198,47.0%,,,"1,516",51.7%,
,,"1,019",47.7%,174,46.6%,223,53.0%,,,"1,416",48.3%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),"1,570",73.4%,246,66.0%,181,43.0%,,,"1,997",68.1%,
,American Indian Only (NEW),11,.5%,1,.3%,1,.2%,,,13,.4%,
,Asian Only (NEW),58,2.7%,4,1.1%,7,1.7%,,,69,2.4%,
,Black Only + 2 or more/1 Black (NEW),99,4.6%,11,2.9%,15,3.6%,,,125,4.3%,
,Hispanic or Latino of any Race (NEW),298,13.9%,38,10.2%,43,10.2%,,,379,12.9%,
,Native Hawaii Only (New),2,.1%,,,1,.2%,,,3,.1%,
,2 or More/Excluding Black (NEW),49,2.3%,6,1.6%,,,,,55,1.9%,
,International,21,1.0%,67,18.0%,169,40.1%,,,257,8.8%,
,Unknown or Not Reported,30,1.4%,,,4,1.0%,,,34,1.2%,
,<18,,,,,,,,,,,
,18-21,933,43.6%,1,.3%,,,,,934,31.9%,
,22-25,"1,089",50.9%,210,56.3%,34,8.1%,,,"1,333",45.5%,
,26-30,83,3.9%,105,28.2%,213,50.6%,,,401,13.7%,
,31-39,21,1.0%,37,9.9%,142,33.7%,,,200,6.8%,
,40+,12,.6%,20,5.4%,32,7.6%,,,64,2.2%,
,1st Time in College,6,.3%,,,,,,,6,.2%,
,1st Time PB,,,1,.3%,,,,,1,.0%,
,1st Time Graduate,,,18,4.8%,4,1.0%,,,22,.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,38,1.8%,,,,,,,38,1.3%,
,Readmitted,29,1.4%,,,,,,,29,1.0%,
,Continuing,"2,065",96.6%,354,94.9%,417,99.0%,,,"2,836",96.7%,
,Resident Tuition,"1,962",91.8%,238,63.8%,163,38.7%,,,"2,363",80.6%,
,Non-Resident Tuition,69,3.2%,30,8.0%,27,6.4%,,,126,4.3%,
,Tuition Exemption/Waiver,107,5.0%,105,28.2%,231,54.9%,,,443,15.1%,
,Texas Resident,"2,021",94.5%,245,65.7%,169,40.1%,,,"2,435",83.0%,
,"Non-TX, US Resident",95,4.4%,61,16.4%,82,19.5%,,,238,8.1%,
,"Non-TX, Non-US Resident",22,1.0%,67,18.0%,170,40.4%,,,259,8.8%,
,< 6 SCH,841,39.3%,131,35.1%,80,19.0%,,,"1,052",35.9%,
,6-8 SCH,831,38.9%,227,60.9%,336,79.8%,,,"1,394",47.5%,
,9-11 SCH,306,14.3%,13,3.5%,4,1.0%,,,323,11.0%,
,12-14 SCH,149,7.0%,2,.5%,1,.2%,,,152,5.2%,
,15-17 SCH,9,.4%,,,,,,,9,.3%,
,>17 SCH,2,.1%,,,,,,,2,.1%,
,Less Than Half Time,617,28.9%,56,15.0%,51,12.1%,,,724,24.7%,
,Half-Time,998,46.7%,74,19.8%,29,6.9%,,,"1,101",37.6%,
,Full-Time,523,24.5%,243,65.1%,341,81.0%,,,"1,107",37.8%,
,No,"1,539",72.0%,367,98.4%,403,95.7%,,,"2,309",78.8%,
,Yes,599,28.0%,6,1.6%,18,4.3%,,,623,21.2%,
,No,"1,351",63.2%,213,57.1%,237,56.3%,,,"1,801",61.4%,
,Unknown,96,4.5%,43,11.5%,50,11.9%,,,189,6.4%,
,Yes,691,32.3%,117,31.4%,134,31.8%,,,942,32.1%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
