Summer 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Business Admin,ACCT,385,,25,15,49,,6,15,3,498
,AGBU,4,,,,,,,,,4
,BHNR,34,1,2,1,4,,,,,42
,BUAD,169,,22,23,31,1,4,16,2,268
,FINC,229,,14,2,33,,2,10,1,291
,INFO,93,2,7,4,22,,1,10,,139
,MGMT,101,,10,4,21,,1,6,4,147
,MISY,41,,4,2,3,,,73,,123
,MKTG,142,,5,4,15,,7,12,,185
,MLER,31,,1,,4,,,1,,37
,USBU,45,,,5,6,,3,,,59
,Subtotal,"1,274",3,90,60,188,1,24,143,10,"1,793"
Education,ATTR,8,,,1,1,,,,1,11
,BIED,2,,,,7,,,,1,10
,CPSY,14,,3,6,10,,2,,,35
,EDAD,74,,6,22,38,,,,1,141
,EDCI,193,2,5,41,22,,5,21,4,293
,EDHL,125,,7,9,30,,4,1,,176
,EDIS,74,,,4,21,,3,,,102
,EDKI,95,1,4,5,20,1,4,1,,131
,EDSM,62,,2,13,13,,2,2,,94
,EDTC,2,,,,,,,1,,3
,EHRD,45,,5,10,22,,1,14,,97
,EPSY,31,,2,4,9,,2,17,1,66
,HEED,18,,2,6,10,,1,5,,42
,HLTH,71,,4,4,13,,3,,,95
,HRDL,41,,3,7,6,1,2,,,60
,HRDV,87,,1,5,19,,1,,,113
,INST,281,,2,7,43,,5,,,338
,KINE,165,,7,9,35,,,14,,230
,SPED,8,,1,,1,,,,,10
,SPMT,101,1,,13,21,,4,3,,143
