Unknown or Not Reported,,,,,,,,,,,,,,,,
Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,1,1,,2,,,,,,,,2,
,ALEC,,,,,,,,,,1,1,,,1,
,ANSC,,,,1,,1,,,,,,,,1,
,BAEN,,,,,,,,,,,,,,,
,BCBP,,2,3,4,,9,,,,1,1,,,10,
,CLAG,,,,,,,,,,,,,,,
,ENTO,1,4,1,4,,10,,,,,,,,10,
,ESSM,,,,,,,,,,,,,,,
,HRSC,,,,,,,,,,,,,,,
,NFSC,,,,,,,,,,,,,,,
,PLPM,,1,4,3,,8,,,,1,1,,,9,
,POSC,,,,,,,,,,,,,,,
,RPTS,,,,,,,,,,,,,,,
,SCSC,,,,,,,,,,,,,,,
,WFSC,,,,,,,,,,1,1,,,1,
,Subtotal,1,7,9,13,,30,,,,4,4,,,34,
Architecture,ARCH,,,,,,,,,,1,1,,,1,
,CLAR,,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,,
,LAUP,,,,,,,,1,1,,,,,1,
,VIZA,,,,,,,,1,1,,,,,1,
,Subtotal,,,,,,,,2,2,1,1,,,3,
Business Admin,ACCT,,,1,,,1,,1,1,1,1,,,3,
,CLBA,1,,,,,1,,1,1,,,,,2,
,FINC,,,,,,,,,,1,1,,,1,
,INFO,,,,,,,,,,,,,,,
,MGMT,,,,,,,,1,1,3,3,,,4,
,MKTG,,,,,,,,,,,,,,,
,Subtotal,1,,1,,,2,,3,3,5,5,,,10,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,,,,,,,,1,1,,,1,
,EPSY,,,,,,,,1,1,1,1,,,2,
,HLKN,,,,,,,,1,1,,,,,1,
,TLAC,,,,,,,,2,2,2,2,,,4,
,Subtotal,,,,,,,,4,4,4,4,,,8,
