Summer 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,1,6,7,,1,1,,1,1,,2,2,,,,,1,1,1,1,1,12,13,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,1,3,4,,,,,,,,1,1,,,,,1,1,1,1,1,6,7,
,22-25,,1,1,,1,1,,,,,1,1,,,,,,,,,,3,3,
,26-30,,1,1,,,,,1,1,,,,,,,,,,,,,2,2,
,31-39,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,40+,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,1,2,3,,,,,,,,1,1,,,,,1,1,,,1,4,5,
,Junior,,3,3,,1,1,,,,,1,1,,,,,,,1,1,,6,6,
,Senior,,,,,,,,1,1,,,,,,,,,,,,,1,1,
,PB,,1,1,,,,,,,,,,,,,,,,,,,1,1,
,Resident Tuition,1,6,7,,1,1,,1,1,,2,2,,,,,,,1,1,1,11,12,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,1,1,,,,1,1,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,1,6,7,,1,1,,1,1,,2,2,,,,,,,1,1,1,11,12,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,1,1,,,,1,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,4,4,,,,,,,,1,1,,,,,,,,,,5,5,
,6-8 SCH,1,2,3,,1,1,,1,1,,1,1,,,,,,,1,1,1,6,7,
,9-11 SCH,,,,,,,,,,,,,,,,,1,1,,,,1,1,
,12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,2,2,,,,,,,,1,1,,,,,,,,,,3,3,
,Half-Time,1,2,3,,1,1,,1,1,,1,1,,,,,1,1,,,1,6,7,
,Full-Time,,2,2,,,,,,,,,,,,,,,,1,1,,3,3,
,No,1,6,7,,1,1,,1,1,,2,2,,,,,1,1,1,1,1,12,13,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,
,No,1,4,5,,,,,,,,1,1,,,,,,,,,1,5,6,
,Unknown,,1,1,,,,,,,,,,,,,,1,1,1,1,,3,3,
,Yes,,1,1,,1,1,,1,1,,1,1,,,,,,,,,,4,4,
,Off-campus,1,6,7,,1,1,,1,1,,2,2,,,,,,,1,1,1,11,12,
,Dorm (On-campus),,,,,,,,,,,,,,,,,1,1,,,,1,1,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,
