Summer 2012,,G6: PB Non-Degree,G7: Masters,G8: Doctoral,G9: GR Conditional,Grand Total,
Head Count,Total,137,"2,573","2,695",57,"5,462",
"Gender Ethnicity
TAMU Age Categories
College
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status",Female,57,"1,142","1,022",23,"2,244",
,Male,80,"1,431","1,673",34,"3,218",
,White Only (NEW),93,"1,339",910,25,"2,367",
,American Indian Only (NEW),2,6,5,,13,
,Asian Only (NEW),5,91,74,5,175,
,Black Only + 2 or more/1 Black (NEW),11,86,130,,227,
,Hispanic or Latino of any Race (NEW),17,233,229,2,481,
,Native Hawaii Only (New),,,1,,1,
,2 or More/Excluding Black (NEW),3,32,17,,52,
,International,2,765,"1,305",25,"2,097",
,Unknown or Not Reported,4,21,24,,49,
,18-21,1,20,,,21,
,22-25,24,"1,518",284,26,"1,852",
,26-30,36,707,"1,354",18,"2,115",
,31-39,41,233,797,10,"1,081",
,40+,35,95,260,3,393,
,Agriculture,7,364,421,2,794,
,Architecture,2,134,28,3,167,
,Business Admin,,432,59,,491,
,Education,13,399,423,3,838,
,Engineering,5,781,872,6,"1,664",
,G. Bush School of Govt,73,38,,,111,
,Geosciences,1,90,102,3,196,
,Liberal Arts,,100,252,4,356,
,Science,24,173,465,31,693,
,Veterinary Medicine,1,62,73,5,141,
,Other - Special Populations,11,,,,11,
,1st Time PB,71,,,,71,
,1st Time Graduate,,335,47,9,391,
,Readmitted,2,2,3,,7,
,Continuing,64,"2,236","2,645",48,"4,993",
,Resident Tuition,102,"1,444",833,18,"2,397",
,Non-Resident Tuition,17,449,262,12,740,
,Tuition Exemption/Waiver,18,680,"1,600",27,"2,325",
,Texas Resident,121,"1,493",896,22,"2,532",
,"Non-TX, US Resident",13,313,488,10,824,
,"Non-TX, Non-US Resident",3,767,"1,311",25,"2,106",
,< 6 SCH,103,"1,041",695,21,"1,860",
,6-8 SCH,31,"1,161","1,934",35,"3,161",
,9-11 SCH,2,265,53,1,321,
,12-14 SCH,1,103,13,,117,
,15-17 SCH,,2,,,2,
,>17 SCH,,1,,,1,
,Less Than Half Time,1,372,403,,776,
,Half-Time,101,663,292,21,"1,077",
,Full-Time,35,"1,538","2,000",36,"3,609",
"Prepared by DARS, 22 Aug 12",,,,,,,
