Summer 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,126,138,264,3,3,3,6,9,6,8,14,39,49,88,1,1,6,2,8,2,2,1,1,183,207,390,
"TAMU Age Categories
Classification Tuition Status
Residency Status
SCH Categories Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,126,137,263,3,3,3,6,9,6,8,14,39,49,88,1,1,6,2,8,2,2,1,1,183,206,389,
,22-25,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,Freshman,124,138,262,3,3,3,6,9,6,8,14,38,49,87,1,1,6,2,8,2,2,1,1,180,207,387,
,Sophomore,2,,2,,,,,,,,,1,,1,,,,,,,,,,3,,3,
,Resident Tuition,125,131,256,3,3,3,5,8,6,7,13,36,47,83,1,1,5,2,7,2,2,1,1,178,196,374,
,Non-Resident Tuition,1,7,8,,,,1,1,,1,1,3,2,5,,,,,,,,,,4,11,15,
,Tuition,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,125,132,257,3,3,3,6,9,6,7,13,36,47,83,1,1,6,2,8,2,2,1,1,179,198,377,
,"Non-TX, US Resident",1,5,6,,,,,,,1,1,3,2,5,,,,,,,,,,4,8,12,
,"Non-TX, Non-US",,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,126,138,264,3,3,3,6,9,6,8,14,39,49,88,1,1,6,2,8,2,2,1,1,183,207,390,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,126,138,264,3,3,3,6,9,6,8,14,39,49,88,1,1,6,2,8,2,2,1,1,183,207,390,
,No,125,137,262,3,3,3,6,9,6,7,13,39,48,87,1,1,6,2,8,2,2,1,1,182,204,386,
,Yes,1,1,2,,,,,,,1,1,,1,1,,,,,,,,,,1,3,4,
,No,95,111,206,1,1,1,3,4,2,4,6,22,25,47,1,1,3,2,5,2,2,1,1,124,149,273,
,Unknown,2,3,5,,,1,,1,,,,2,1,3,,,,,,,,,,5,4,9,
,Yes,29,24,53,2,2,1,3,4,4,4,8,15,23,38,,,3,,3,,,,,54,54,108,
,Off-campus,126,138,264,3,3,3,6,9,6,8,14,39,49,88,1,1,6,2,8,2,2,1,1,183,207,390,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
