Summer 2012,,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count,Total,26,7,130,163,
"Gender Ethnicity
TAMU Age Categories
College Enrollment Status Tuition Status
Residency Status SCH Categories
Ft/Pt:  TAMU Status",Female,21,6,102,129,
,Male,5,1,28,34,
,White Only (NEW),23,6,104,133,
,Asian Only (NEW),1,,2,3,
,Black Only + 2 or more/1 Black (NEW),,,2,2,
,Hispanic or Latino of any Race (NEW),1,,20,21,
,2 or More/Excluding Black (NEW),1,,1,2,
,Unknown or Not Reported,,1,1,2,
,22-25,16,3,54,73,
,26-30,10,3,65,78,
,31-39,,1,11,12,
,Veterinary Medicine,26,7,130,163,
,Continuing,26,7,130,163,
,Resident Tuition,25,7,120,152,
,Non-Resident Tuition,,,1,1,
,Tuition Exemption/Waiver,1,,9,10,
,Texas Resident,26,7,122,155,
,"Non-TX, US Resident",,,8,8,
,< 6 SCH,22,7,,29,
,6-8 SCH,4,,128,132,
,9-11 SCH,,,1,1,
,12-14 SCH,,,1,1,
,Half-Time,26,7,,33,
,Full-Time,,,130,130,
"Prepared by DARS, 22 Aug 12",,,,,,
