Summer 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,5,8,13,,2,2,1,,1,,1,1,,,,,,,,,6,11,17,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,5,6,11,,1,1,1,,1,,1,1,,,,,,,,,6,8,14,
,22-25,,2,2,,1,1,,,,,,,,,,,,,,,,3,3,
,26-30,,,,,,,,,,,,,,,,,,,,,,,,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,2,4,6,,1,1,1,,1,,1,1,,,,,,,,,3,6,9,
,Junior,3,4,7,,1,1,,,,,,,,,,,,,,,3,5,8,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,5,8,13,,2,2,1,,1,,1,1,,,,,,,,,6,11,17,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,5,8,13,,2,2,1,,1,,1,1,,,,,,,,,6,11,17,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,1,4,5,,1,1,1,,1,,,,,,,,,,,,2,5,7,
,6-8 SCH,3,2,5,,1,1,,,,,1,1,,,,,,,,,3,4,7,
,9-11 SCH,1,2,3,,,,,,,,,,,,,,,,,,1,2,3,
,12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,1,5,6,,1,1,,,,,,,,,,,,,,,1,6,7,
,Half-Time,3,2,5,,1,1,1,,1,,1,1,,,,,,,,,4,4,8,
,Full-Time,1,1,2,,,,,,,,,,,,,,,,,,1,1,2,
,No,3,8,11,,2,2,1,,1,,1,1,,,,,,,,,4,11,15,
,Yes,2,,2,,,,,,,,,,,,,,,,,,2,,2,
,No,4,5,9,,,,1,,1,,1,1,,,,,,,,,5,6,11,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,1,3,4,,2,2,,,,,,,,,,,,,,,1,5,6,
,Off-campus,3,7,10,,2,2,1,,1,,1,1,,,,,,,,,4,10,14,
,Dorm (On-campus),2,1,3,,,,,,,,,,,,,,,,,,2,1,3,
"Prepared by DARS, 22 Aug 12",,,,,,,,,,,,,,,,,,,,,,,,,
