Summer 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Business Admin,"MLER USBU
Subtotal",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,3,,3,,,,,,,,3
"Education
Engineering",ATTR,,,,,,,,,,,,,,
,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,,,,,
,EDAD,,,,,,,,,,,,,,
,EDCI,,,,,,,,1,1,1,1,,,2
,EDHL,,,,,,,,,,,,,,
,EDIS,,,,,,,,,,,,,,
,EDKI,,,1,,,1,,,,,,,,1
,EDSM,,,,,,,,,,,,,,
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,,,,,,,
,EPSY,,,,,,,,,,,,,,
,HEED,,,,,,,,,,,,,,
,HLTH,,,,,,,,,,,,,,
,HRDL,,,,,,,,,,,,,,
,HRDV,,,,,,,,,,,,,,
,INST,,,,,,,,,,,,,,
,KINE,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,
,SPMT,,,,1,,1,,,,,,,,1
,SPSY,,,,,,,,,,,,,,
,TCMG,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,,,1,1,,2,,1,1,1,1,,,4
,AERL,,,,,,,,,,,,,,
,AERO,,,,,,,,,,,,,,
,BIOT,,,,,,,,,,,,,,
,BMEL,,,,,,,,,,,,,,
,BMEN,,,,,,,,,,,,,,
,CECL,,,,,,,,,,,,,,
,CECN,,,,1,,1,,,,,,,,1
