Summer 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,849,100.0%,,,,,,,849,100.0%,
,,377,44.4%,,,,,,,377,44.4%,
,,472,55.6%,,,,,,,472,55.6%,
"Ethnicity
TAMU Age Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation",White Only (NEW),564,66.4%,,,,,,,564,66.4%,
,American Indian Only (NEW),5,.6%,,,,,,,5,.6%,
,Asian Only (NEW),33,3.9%,,,,,,,33,3.9%,
,Black Only + 2 or more/1 Black (NEW),49,5.8%,,,,,,,49,5.8%,
,Hispanic or Latino of any Race (NEW),169,19.9%,,,,,,,169,19.9%,
,Native Hawaii Only (New),2,.2%,,,,,,,2,.2%,
,2 or More/Excluding Black (NEW),15,1.8%,,,,,,,15,1.8%,
,International,11,1.3%,,,,,,,11,1.3%,
,Unknown or Not Reported,1,.1%,,,,,,,1,.1%,
,<18,,,,,,,,,,,
,18-21,837,98.6%,,,,,,,837,98.6%,
,22-25,10,1.2%,,,,,,,10,1.2%,
,26-30,1,.1%,,,,,,,1,.1%,
,31-39,1,.1%,,,,,,,1,.1%,
,40+,,,,,,,,,,,
,1st Time in College,390,45.9%,,,,,,,390,45.9%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,459,54.1%,,,,,,,459,54.1%,
,Resident Tuition,786,92.6%,,,,,,,786,92.6%,
,Non-Resident Tuition,39,4.6%,,,,,,,39,4.6%,
,Tuition Exemption/Waiver,24,2.8%,,,,,,,24,2.8%,
,Texas Resident,802,94.5%,,,,,,,802,94.5%,
,"Non-TX, US Resident",37,4.4%,,,,,,,37,4.4%,
,"Non-TX, Non-US Resident",10,1.2%,,,,,,,10,1.2%,
,< 6 SCH,238,28.0%,,,,,,,238,28.0%,
,6-8 SCH,552,65.0%,,,,,,,552,65.0%,
,9-11 SCH,39,4.6%,,,,,,,39,4.6%,
,12-14 SCH,20,2.4%,,,,,,,20,2.4%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
,Less Than Half Time,174,20.5%,,,,,,,174,20.5%,
,Half-Time,601,70.8%,,,,,,,601,70.8%,
,Full-Time,74,8.7%,,,,,,,74,8.7%,
,No,750,88.3%,,,,,,,750,88.3%,
,Yes,99,11.7%,,,,,,,99,11.7%,
,No,572,67.4%,,,,,,,572,67.4%,
,Unknown,32,3.8%,,,,,,,32,3.8%,
,Yes,245,28.9%,,,,,,,245,28.9%,
"Prepared by DARS, 8/22/2012",,,,,,,,,,,,
