Headcount by Department by Ethnic Origin,,,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,,,
"Fall 2002
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations      COFD INEN SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,91,85.7%,4,33.3%,9,50.0%,1,0.0%,,1,0.0%,7,250.0%,,4,300.0%,117,85.7%,
,91,85.7%,4,33.3%,9,50.0%,1,0.0%,,1,0.0%,7,250.0%,,4,300.0%,117,85.7%,
,189,8.0%,3,200.0%,12,71.4%,1,-66.7%,,1,-50.0%,22,46.7%,,2,-33.3%,230,11.7%,
,2,100.0%,,,,,,,,,,,,,,,2,100.0%,
,157,1.9%,4,-20.0%,19,11.8%,0,-100.0%,,0,-100.0%,13,116.7%,,1,0.0%,194,4.9%,
,164,-3.0%,,,14,7.7%,5,25.0%,,2,0.0%,49,-16.9%,,6,100.0%,240,-4.0%,
,46,-11.5%,,,2,100.0%,1,0.0%,,,,27,0.0%,,2,100.0%,78,-4.9%,
,558,1.5%,7,16.7%,47,23.7%,7,-22.2%,,3,-40.0%,111,3.7%,,11,37.5%,744,2.9%,
,185,-3.1%,1,0.0%,28,16.7%,8,60.0%,,2,100.0%,12,-7.7%,,5,150.0%,241,1.7%,
,255,25.0%,10,25.0%,54,17.4%,13,30.0%,,1,100.0%,5,150.0%,,3,50.0%,341,25.4%,
,567,12.3%,7,-12.5%,54,28.6%,30,57.9%,,2,0.0%,85,4.9%,,12,-7.7%,757,13.0%,
,572,-1.9%,15,36.4%,52,10.6%,6,20.0%,,3,0.0%,25,8.7%,,13,30.0%,686,0.6%,
,486,1.7%,12,9.1%,65,6.6%,4,-42.9%,,7,16.7%,1,0.0%,,17,70.0%,592,3.1%,
,567,-18.1%,16,-33.3%,46,-33.3%,7,-50.0%,,2,-50.0%,6,-14.3%,,6,-50.0%,650,-20.9%,
,70,-7.9%,0,-100.0%,36,89.5%,1,0.0%,,0,-100.0%,2,-60.0%,,2,100.0%,111,6.7%,
,108,21.3%,1,100.0%,9,80.0%,6,20.0%,,,,3,100.0%,,8,60.0%,135,29.8%,
,836,11.5%,26,13.0%,104,10.6%,21,75.0%,,5,-28.6%,16,33.3%,,10,-9.1%,1018,12.0%,
,68,240.0%,4,33.3%,15,150.0%,,,,1,100.0%,,,,1,100.0%,89,206.9%,
,1233,6.6%,49,-10.9%,163,3.8%,47,-6.0%,,11,57.1%,12,9.1%,,18,-14.3%,1533,5.1%,
