Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,643",-6.0%,816,1.7%,70,-4.1%,,,"5,529",-4.9%,
Gender,Female,"2,521",-4.3%,333,2.8%,27,3.8%,,,"2,881",-3.4%,
,Male,"2,122",-8.0%,483,1.0%,43,-8.5%,,,"2,648",-6.5%,
Ethnicity,White,"4,004",-5.3%,567,3.8%,30,-9.1%,,,"4,601",-4.3%,
,Black,87,-7.4%,13,-27.8%,3,0.0%,,,103,-10.4%,
,Hispanic,301,-12.8%,36,16.1%,2,-50.0%,,,339,-10.8%,
,Asian,151,2.0%,21,-4.5%,,,,,172,1.2%,
,American Indian,16,-23.8%,2,100.0%,1,-50.0%,,,19,-20.8%,
,International,41,0.0%,160,-4.2%,33,10.0%,,,234,-1.7%,
,Unknown/Other,43,-31.7%,17,0.0%,1,0.0%,,,61,-24.7%,
TAMU Age,<18,9,125.0%,,,,,,,9,125.0%,
Categories,18-21,"3,583",-4.7%,10,-33.3%,,,,,"3,593",-4.8%,
,22-25,992,-10.1%,422,16.9%,4,33.3%,,,"1,418",-3.4%,
,26-30,29,-27.5%,191,-16.6%,28,40.0%,,,248,-14.2%,
,31-39,20,-4.8%,125,-3.8%,25,-16.7%,,,170,-6.1%,
,40+,10,-9.1%,68,1.5%,13,-35.0%,,,91,-7.1%,
Enrollment,1st Time in College,921,8.4%,,,,,,,921,8.4%,
Status,1st Time PB,,,7,100.0%,,,,,7,100.0%,
,1st Time Graduate,,,470,2.2%,12,9.1%,,,482,2.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,45,-11.8%,,,,,,,45,-11.8%,
,Readmitted,28,-42.9%,0,-100.0%,,,,,28,-45.1%,
,Continuing,"3,649",-8.5%,339,-0.3%,58,-6.5%,,,"4,046",-7.9%,
Tuition,Resident Tuition,"4,498",-5.7%,592,8.2%,20,-20.0%,,,"5,110",-4.4%,
Status,Non-Resident Tuition,77,-18.1%,46,12.2%,11,-35.3%,,,134,-11.8%,
,Tuition Exemption/Waiver,68,-8.1%,178,-16.8%,39,25.8%,,,285,-10.7%,
Residency,Texas Resident,"4,504",-5.7%,592,7.1%,22,-15.4%,,,"5,118",-4.5%,
Status,"Non-TX, US Resident",97,-17.8%,64,-22.0%,15,-11.8%,,,176,-18.9%,
,"Non-TX, Non-US Resident",42,-2.3%,160,-4.2%,33,10.0%,,,235,-2.1%,
SCH,< 6 SCH,23,-37.8%,25,47.1%,12,-45.5%,,,60,-21.1%,
Categories,6-8 SCH,97,-6.7%,14,-39.1%,,,,,111,-12.6%,
,9-11 SCH,200,1.5%,270,31.7%,43,7.5%,,,513,16.1%,
,12-14 SCH,"2,990",-6.7%,205,-44.0%,15,36.4%,,,"3,210",-10.3%,
,15-17 SCH,"1,284",-4.8%,183,4.0%,,,,,"1,467",-3.8%,
,>17 SCH,49,0.0%,119,693.3%,,,,,168,162.5%,
Ft/Pt:,Less Than Half Time,22,-21.4%,23,43.8%,11,-50.0%,,,56,-15.2%,
TAMU,Half-Time,95,-6.9%,16,-33.3%,1,100.0%,,,112,-11.1%,
Status,Three-Quarter Time,197,2.1%,,,,,,,197,2.1%,
,Full-Time,"4,329",-6.2%,777,2.0%,58,13.7%,,,"5,164",-4.9%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
