Country,Undergraduate,Masters,PhD,Professional,Total Students
Germany,6,14,3,,23
Ghana,1,5,4,,10
Greece,,5,11,,16
Guatemala,23,4,2,,29
Honduras,19,3,3,,25
Hong Kong,9,4,8,,21
Hungary,,,1,,1
Iceland,,1,1,,2
India,50,685,88,,823
Indonesia,47,22,17,,86
Iran,1,9,13,,23
Iraq,,,1,,1
Israel,1,4,1,,6
Italy,2,5,2,,9
Jamaica,1,,2,,3
Japan,5,17,10,,32
Jordan,1,4,10,,15
Kazakhstan,4,6,1,,11
Kenya,1,,2,,3
"Korea, Republic of",25,191,398,,614
Kuwait,1,3,2,,6
Lebanon,1,6,5,,12
MADAGASCAR,,,1,,1
Malawi (Central Africa),,1,1,,2
Malaysia,2,4,5,,11
Mauritius,,,1,,1
Mexico,25,49,57,,131
Morocco,,5,1,,6
Nepal,1,1,,,2
Netherlands,,,3,,3
Nicaragua,10,1,1,,12
Nigeria,13,23,4,,40
Norway,3,3,1,,7
Oman,2,2,,,4
Other Foreign or US,4,8,2,3,17
Pakistan,7,11,3,,21
Panama,17,3,,,20
Paraguay,1,,1,,2
Peru,2,14,7,,23
