Country,Undergraduate,Masters,PhD,Professional,Total Students
Philippines,,2,6,,8
Poland,,2,,,2
Portugal,3,2,4,,9
Qatar,,1,,,1
Romania,,8,11,,19
Russia,6,11,22,,39
Saudi Arabia,2,7,9,,18
Serbia,,4,4,,8
Singapore,3,7,5,,15
South Africa,3,4,1,,8
Spain,3,7,2,,12
Sri Lanka (Ceylon),1,4,4,,9
Sudan,,1,,,1
Suriname,,1,,,1
Sweden,3,1,,,4
Switzerland,5,,,,5
Syria,,,1,,1
Taiwan,9,28,64,,101
Thailand,2,20,28,,50
Trinidad & Tobago,1,2,,,3
Tunisia,1,,1,,2
Turkey,13,39,49,,101
Turkmenistan,,1,,,1
Uganda,1,1,2,,4
Ukraine,,5,1,,6
United Arab Emirates,6,2,,,8
United Kingdom,10,9,4,,23
United States,"36,263","3,017","1,590",490,"41,360"
Uruguay,2,,5,,7
Uzbekistan,,2,1,,3
Venezuela,10,30,15,,55
"Viet Nam, (South)",8,4,3,,15
Yemen,,1,,,1
YUGOSLAVIA (OLD),2,2,2,,6
Zambia,,1,1,,2
Zimbabwe (Rhodesia),,1,1,,2
