Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College G. Bush School of Govt,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,117,85.7%,,,,,117,85.7%,
Gender,Female,,,60,93.5%,,,,,60,93.5%,
,Male,,,57,78.1%,,,,,57,78.1%,
Ethnicity,White,,,91,85.7%,,,,,91,85.7%,
,Black,,,4,33.3%,,,,,4,33.3%,
,Hispanic,,,9,50.0%,,,,,9,50.0%,
,Asian,,,1,0.0%,,,,,1,0.0%,
,American Indian,,,1,0.0%,,,,,1,0.0%,
,International,,,7,250.0%,,,,,7,250.0%,
,Unknown/Other,,,4,300.0%,,,,,4,300.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,5,150.0%,,,,,5,150.0%,
,22-25,,,71,82.1%,,,,,71,82.1%,
,26-30,,,21,40.0%,,,,,21,40.0%,
,31-39,,,11,266.7%,,,,,11,266.7%,
,40+,,,9,125.0%,,,,,9,125.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,30,100.0%,,,,,30,100.0%,
,1st Time Graduate,,,52,100.0%,,,,,52,100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,35,-5.4%,,,,,35,-5.4%,
Tuition,Resident Tuition,,,80,135.3%,,,,,80,135.3%,
Status,Non-Resident Tuition,,,6,500.0%,,,,,6,500.0%,
,Tuition Exemption/Waiver,,,31,10.7%,,,,,31,10.7%,
Residency,Texas Resident,,,84,121.1%,,,,,84,121.1%,
Status,"Non-TX, US Resident",,,27,17.4%,,,,,27,17.4%,
,"Non-TX, Non-US Resident",,,6,200.0%,,,,,6,200.0%,
SCH,< 6 SCH,,,17,88.9%,,,,,17,88.9%,
Categories,6-8 SCH,,,14,180.0%,,,,,14,180.0%,
,9-11 SCH,,,7,250.0%,,,,,7,250.0%,
,12-14 SCH,,,72,56.5%,,,,,72,56.5%,
,15-17 SCH,,,7,600.0%,,,,,7,600.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,17,88.9%,,,,,17,88.9%,
TAMU,Half-Time,,,14,180.0%,,,,,14,180.0%,
Status,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,86,75.5%,,,,,86,75.5%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
