Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,345",0.5%,672,3.9%,527,5.0%,,,"6,544",1.2%,
Gender,Female,"2,488",-1.6%,334,7.7%,189,6.2%,,,"3,011",-0.2%,
,Male,"2,857",2.3%,338,0.3%,338,4.3%,,,"3,533",2.3%,
Ethnicity,White,"4,637",0.9%,454,-0.9%,263,0.8%,,,"5,354",0.7%,
,Black,116,-3.3%,9,28.6%,2,0.0%,,,127,-1.6%,
,Hispanic,376,5.3%,26,0.0%,18,-5.3%,,,420,4.5%,
,Asian,68,-4.2%,8,-33.3%,19,35.7%,,,95,-2.1%,
,American Indian,38,22.6%,0,-100.0%,,,,,38,18.8%,
,International,47,-20.3%,164,21.5%,220,11.1%,,,431,9.9%,
,Unknown/Other,63,-26.7%,11,37.5%,5,-37.5%,,,79,-22.5%,
TAMU Age,<18,3,0.0%,,,,,,,3,0.0%,
Categories,18-21,"3,064",-2.4%,3,-40.0%,,,,,"3,067",-2.5%,
,22-25,"2,032",4.2%,361,-3.2%,41,24.2%,,,"2,434",3.3%,
,26-30,167,4.4%,190,15.9%,203,5.2%,,,560,8.3%,
,31-39,60,33.3%,87,16.0%,197,-1.5%,,,344,7.5%,
,40+,19,-13.6%,31,3.3%,86,13.2%,,,136,6.3%,
Enrollment,1st Time in College,533,6.0%,,,,,,,533,6.0%,
Status,1st Time PB,4,-55.6%,15,100.0%,,,,,19,111.1%,
,1st Time Graduate,,,221,16.9%,58,1.8%,,,279,13.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,377,-12.1%,1,100.0%,,,,,378,-11.9%,
,Readmitted,108,-27.0%,3,-25.0%,3,200.0%,,,114,-25.5%,
,Continuing,"4,323",2.2%,432,-4.8%,466,5.0%,,,"5,221",1.8%,
Tuition,Resident Tuition,"5,111",1.1%,372,1.4%,191,10.4%,,,"5,674",1.4%,
Status,Non-Resident Tuition,117,-17.6%,67,3.1%,72,-15.3%,,,256,-12.3%,
,Tuition Exemption/Waiver,117,-3.3%,233,8.4%,264,8.2%,,,614,5.9%,
Residency,Texas Resident,"5,117",1.1%,374,1.6%,193,11.6%,,,"5,684",1.5%,
Status,"Non-TX, US Resident",177,-10.6%,134,-6.3%,113,-13.1%,,,424,-10.0%,
,"Non-TX, Non-US Resident",51,-17.7%,164,20.6%,221,11.1%,,,436,9.8%,
SCH,< 6 SCH,79,6.8%,127,0.0%,129,7.5%,,,335,4.4%,
Categories,6-8 SCH,155,-16.7%,52,62.5%,30,50.0%,,,237,-0.4%,
,9-11 SCH,308,14.9%,447,1.1%,357,3.2%,,,"1,112",5.3%,
,12-14 SCH,"3,255",1.2%,42,2.4%,9,-35.7%,,,"3,306",1.1%,
,15-17 SCH,"1,419",-2.9%,4,-20.0%,2,100.0%,,,"1,425",-2.9%,
,>17 SCH,129,11.2%,,,0,-100.0%,,,129,10.3%,
Ft/Pt:,Less Than Half Time,71,2.9%,103,-4.6%,100,-7.4%,,,274,-3.9%,
TAMU,Half-Time,150,-13.8%,74,45.1%,59,78.8%,,,283,9.7%,
Status,Three-Quarter Time,303,14.8%,,,,,,,303,14.8%,
,Full-Time,"4,821",0.2%,495,1.4%,368,1.9%,,,"5,684",0.4%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
