Headcount by Major by Ethnic Origin,,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,,
Fall 2002,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,33,10.0%,4,-20.0%,2,100.0%,0,-100.0%,0,-100.0%,18,80.0%,2,-33.3%,55,25.0%,
,ESCI,13,-7.1%,,,2,0.0%,,,,,,,,,15,-6.3%,
,GEOG,157,1.9%,,,19,11.8%,,,,,13,116.7%,1,0.0%,194,4.9%,
,GEOL,128,0.0%,,,10,0.0%,3,0.0%,1,0.0%,26,-13.3%,4,100.0%,172,-1.1%,
,GEOP,23,-8.0%,,,2,100.0%,2,100.0%,1,0.0%,23,-17.9%,2,100.0%,53,-7.0%,
,GEOS,2,-33.3%,,,,,,,,,0,-100.0%,,,2,-50.0%,
,METR,156,7.6%,3,200.0%,10,66.7%,1,-66.7%,1,-50.0%,4,-20.0%,,,175,8.0%,
,OCNG,46,-9.8%,,,2,100.0%,1,0.0%,,,27,0.0%,2,100.0%,78,-3.7%,
,Subtotal,558,1.5%,7,16.7%,47,23.7%,7,-22.2%,3,-40.0%,111,3.7%,11,37.5%,744,2.9%,
Liberal Arts,AMST,18,260.0%,,,,,,,,,,,,,18,260.0%,
,ANTH,185,-3.1%,1,0.0%,28,16.7%,8,60.0%,2,100.0%,12,-7.7%,5,150.0%,241,1.7%,
,COML,,,,,,,,,,,1,100.0%,,,1,100.0%,
,ECON,567,12.3%,7,-12.5%,54,28.6%,30,57.9%,2,0.0%,85,4.9%,12,-7.7%,757,13.0%,
,ENGL,572,-1.9%,15,36.4%,52,10.6%,6,20.0%,3,0.0%,25,8.7%,13,30.0%,686,0.6%,
,FREN,6,-57.1%,0,-100.0%,3,100.0%,,,,,,,,,9,-40.0%,
,GERM,7,0.0%,,,1,100.0%,1,0.0%,0,-100.0%,,,1,100.0%,10,11.1%,
,HIST,486,1.7%,12,9.1%,65,6.6%,4,-42.9%,7,16.7%,1,0.0%,17,70.0%,592,3.1%,
,INTS,237,19.1%,10,25.0%,54,17.4%,13,30.0%,1,100.0%,4,100.0%,3,50.0%,322,20.6%,
,JOUL,0,-100.0%,,,0,-100.0%,,,,,,,,,0,-100.0%,
,JOUR,549,-19.0%,16,-33.3%,41,-36.9%,7,-50.0%,2,-50.0%,3,50.0%,5,-54.5%,623,-21.9%,
,MODL,9,50.0%,,,7,75.0%,,,,,2,-50.0%,,,18,28.6%,
,MUSC,22,340.0%,1,0.0%,4,100.0%,,,,,,,,,27,237.5%,
,PHIL,108,21.3%,1,100.0%,9,80.0%,6,20.0%,,,3,100.0%,8,60.0%,135,29.8%,
,POLL,1,0.0%,,,,,,,,,,,,,1,0.0%,
,POLS,835,11.5%,26,13.0%,104,10.6%,21,75.0%,5,-28.6%,16,33.3%,10,-9.1%,1017,12.0%,
,PSYC,1233,6.6%,49,-10.9%,163,3.8%,47,-6.0%,11,57.1%,12,9.1%,18,-14.3%,1533,5.1%,
,RUSS,10,42.9%,,,,,,,,,,,0,-100.0%,10,25.0%,
,SCOM,738,15.9%,10,-41.2%,72,10.8%,12,-14.3%,7,40.0%,6,0.0%,11,-15.4%,856,13.1%,
,SOCI,247,10.3%,16,60.0%,31,-8.8%,8,-20.0%,1,100.0%,21,-4.5%,3,-25.0%,327,7.6%,
,SPAN,38,-9.5%,,,25,66.7%,,,,,0,-100.0%,1,100.0%,64,10.3%,
,STJR,11,57.1%,,,1,100.0%,,,,,3,-40.0%,,,15,25.0%,
,TCMS,7,75.0%,,,4,300.0%,,,,,,,1,0.0%,12,100.0%,
,THAR,46,21.1%,3,50.0%,11,-8.3%,,,1,100.0%,,,1,100.0%,62,19.2%,
,Subtotal,5932,5.4%,167,-2.9%,729,7.7%,163,7.2%,42,16.7%,194,6.0%,109,4.8%,7336,5.5%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,,,,
