Headcount by Department by Level,,,,,,,,,,,
Fall 2002,,,,,,,,,,,
"Fall 2002
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations             COFD INEN SABX SRPH
Subtotal
Total",Undergraduate,,Masters,,PhD,,Professional,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
,1354,5.5%,31,-20.5%,56,1.8%,,,1441,4.6%,
,197,6.5%,107,-7.8%,132,9.1%,,,436,3.3%,
,313,2.3%,90,47.5%,44,0.0%,,,447,8.8%,
,82,3.8%,39,-15.2%,75,17.2%,,,196,3.7%,
,,,47,-6.0%,51,8.5%,,,98,1.0%,
,1946,5.0%,314,0.6%,358,8.2%,,,2618,4.8%,
,1902,-3.7%,,,,,493,-0.8%,2395,-3.1%,
,,,15,66.7%,24,9.1%,,,39,25.8%,
,,,5,25.0%,,,,,5,25.0%,
,,,4,100.0%,,,,,4,100.0%,
,,,25,-13.8%,29,-19.4%,,,54,-16.9%,
,,,15,-6.3%,24,-4.0%,,,39,-4.9%,
,1902,-3.7%,64,6.7%,77,-7.2%,493,-0.8%,2536,-3.0%,
,3502,-4.7%,,,,,,,3502,-4.7%,
,3502,-4.7%,,,,,,,3502,-4.7%,
,,,8,-46.7%,0,-100.0%,,,8,-50.0%,
,,,6,-45.5%,,,,,6,-45.5%,
,,,1,0.0%,,,,,1,0.0%,
,23,4.5%,16,6.7%,,,,,39,5.4%,
,,,23,-25.8%,,,,,23,-25.8%,
,23,4.5%,54,-26.0%,0,-100.0%,,,77,-19.8%,
,36775,0.5%,4822,4.4%,2993,3.2%,493,-0.8%,45083,1.0%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,
