Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College Other - Special Populations,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,23,4.5%,54,-26.0%,0,-100.0%,,,77,-19.8%,
Gender,Female,8,0.0%,30,-25.0%,,,,,38,-20.8%,
,Male,15,7.1%,24,-27.3%,0,-100.0%,,,39,-18.8%,
Ethnicity,White,,,20,-28.6%,0,-100.0%,,,20,-31.0%,
,Black,,,2,-50.0%,,,,,2,-50.0%,
,Hispanic,,,5,-16.7%,,,,,5,-16.7%,
,Asian,,,2,-50.0%,,,,,2,-50.0%,
,American Indian,,,,,,,,,,,
,International,23,4.5%,25,-10.7%,,,,,48,-4.0%,
,Unknown/Other,,,0,-100.0%,,,,,0,-100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,8,-27.3%,2,100.0%,,,,,10,-9.1%,
,22-25,14,40.0%,28,-39.1%,,,,,42,-25.0%,
,26-30,1,100.0%,10,-44.4%,0,-100.0%,,,11,-42.1%,
,31-39,0,-100.0%,9,125.0%,,,,,9,80.0%,
,40+,,,5,0.0%,,,,,5,0.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,36,100.0%,,,,,36,100.0%,
,1st Time Graduate,,,5,-54.5%,,,,,5,-54.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,23,4.5%,13,-79.0%,0,-100.0%,,,36,-57.6%,
Tuition,Resident Tuition,,,26,-31.6%,0,-100.0%,,,26,-33.3%,
Status,Non-Resident Tuition,23,4.5%,18,0.0%,,,,,41,2.5%,
,Tuition Exemption/Waiver,,,10,-41.2%,,,,,10,-41.2%,
Residency,Texas Resident,,,27,-28.9%,0,-100.0%,,,27,-30.8%,
Status,"Non-TX, US Resident",,,4,-42.9%,,,,,4,-42.9%,
,"Non-TX, Non-US Resident",23,4.5%,23,-17.9%,,,,,46,-8.0%,
SCH,< 6 SCH,,,22,-47.6%,0,-100.0%,,,22,-48.8%,
Categories,6-8 SCH,,,5,0.0%,,,,,5,0.0%,
,9-11 SCH,,,8,33.3%,,,,,8,33.3%,
,12-14 SCH,16,33.3%,16,166.7%,,,,,32,77.8%,
,15-17 SCH,7,-30.0%,3,-78.6%,,,,,10,-58.3%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,21,-46.2%,0,-100.0%,,,21,-47.5%,
TAMU,Half-Time,,,6,-25.0%,,,,,6,-25.0%,
Status,Three-Quarter Time,,,,,,,,,,,
,Full-Time,23,4.5%,27,3.8%,,,,,50,4.2%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
